,Player ,Team,Year,09/10vs. CHI,09/17vs. GNB,09/24vs. DET,10/01vs. BUF,10/15vs. MIA,10/22vs. NWE,10/29vs. NYJ,11/05vs. CAR,11/12vs. DAL,11/20vs. SEA,11/26vs. TAM,12/03vs. MIN,12/07vs. NOR,12/18vs. TAM,12/24vs. NOR,12/31vs. CAR,01/06vs. LAR,01/13vs. PHI
0,Ricardo Allen,atl,2017,,,,Out: Concussion,,,,,,,,,,,,,,
1,Vic Beasley,atl,2017,,,Out: Hamstring,Out: Hamstring,,,,,,,,,,,,,,
2,Matthew Bosher,atl,2017,,,,,,,,,,Questionable: leftAnkle,,,,,,,,
3,Matt Bryant,atl,2017,,,,,Questionable: Back,,,,,,,,,,,,,
4,Tevin Coleman,atl,2017,,,,,,,,,,,,,,Out: Concussion,,,,
5,Jack Crawford ,atl,2017,,,,,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep
6,Devonta Freeman ,atl,2017,,,,,,,,,,Out: Concussion,Out: Concussion,,,,,,,
7,Devin Fuller,atl,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
8,Jermaine Grace,atl,2017,,,,,Out: Hamstring,,,,,,,,,,,,,
9,Brian Hill,atl,2017,,Questionable: Ankle,,,,,,,,,,,,,,,,
10,Andy Levitre,atl,2017,,,,,,,,,Questionable: Knee,,,,Out: Triceps,Out: Triceps,Questionable: Triceps,,Injured Reserve: Tricep,Injured Reserve: Tricep
11,Alex Mack,atl,2017,,,,,,,,,,,,,,,,Questionable: Calf,,
12,Quincy Mauger,atl,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
13,Austin Pasztor,atl,2017,Questionable: Chest,,,,,,,,,,,,,,,,,
14,LaRoy Reynolds,atl,2017,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,,,,,,,,,,,
15,Duke Riley,atl,2017,,,,,,,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,,
16,Ty Sambrailo,atl,2017,,,,,,,,,,,Out: Hamstring,,,,,,,
17,Mohamed Sanu,atl,2017,,,,,Out: Hamstring,,,,,,,,,,,,,
18,Eric Saubert,atl,2017,,,,,,,,,,,,,Out: Back,,,,,
19,Ryan Schraeder,atl,2017,,,Out: Concussion,Out: Concussion,,,,,,,,,,,,,,
20,Levine Toilolo,atl,2017,,,,,,,,,,,,,,,,Out: Knee,,
21,Jordan Tripp,atl,2017,,,,,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
22,Desmond Trufant,atl,2017,,,,,,,,,,,,Out: Concussion,,,,,,
23,Courtney Upshaw,atl,2017,,,Out: Ankle,Out: Ankle,Out: Ankle,,,,,,,,,,,,,
24,Terron Ward,atl,2017,,,Out: Neck,Out: Neck,,,,,,,,,,,,,,
25,Sean Weatherspoon,atl,2017,,,,,,,,,,,,Questionable: Illness,,,,,,
