,Player,Team,Year,09/09vs. IND,09/13vs. BAL,09/23vs. CAR,09/30vs. ATL,10/07vs. MIA,10/14vs. PIT,10/21vs. KAN,10/28vs. TAM,11/11vs. NOR,11/18vs. BAL,11/25vs. CLE,12/02vs. DEN,12/09vs. LAC,12/16vs. OAK,12/23vs. CLE,12/30vs. PIT
0,Matt Barkley,cin,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
1,Brandon Bell,cin,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,,Injured Reserve: Undisclosed,,,,
2,Giovani Bernard,cin,2018,,,,,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,
3,Tyler Boyd,cin,2018,,,,,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee
4,Preston Brown,cin,2018,,Questionable: Ankle,Questionable: Ankle,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
5,Vontaze Burfict,cin,2018,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,Injured Reserve: Suspension,,,,Out: Hip,Out: Hip,Questionable: Hip,,,Out: Concussion,Out: Concussion,Questionable: Concussion,Out: Concussion
6,Tra Carson,cin,2018,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,Injured Reserve: Hamstring,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
7,Cethan Carter ,cin,2018,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
8,Cody Core,cin,2018,Doubtful: Back,Doubtful: Back,,,,,,,,,,,,,,
9,Andy Dalton,cin,2018,,,,,,,,,,,,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb
10,Darqueze Dennard ,cin,2018,,,,,,,Out: Sternoclavicular,Out: Sternoclavicular,Out: Sternoclavicular,,,,,,,
11,Tyler Eifert,cin,2018,,,,,Out: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
12,Jordan Evans,cin,2018,,,,,,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle
13,Jake Fisher,cin,2018,,,,,,,,,,,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
14,Ryan Glasgow,cin,2018,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
15,Cordy Glenn,cin,2018,,,,,,,,,,,Questionable: Back,Doubtful: Back,Out: Back,Questionable: Back,,
16,A.J. Green,cin,2018,,,,,,,,,Out: Toe,Doubtful: Toe,Questionable: Toe,,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe
17,Davontae Harris,cin,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,Injured Reserve: Knee,,
18,Trayvon Henderson,cin,2018,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm
19,Ryan Hewitt,cin,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,,Injured Reserve: Undisclosed,,,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,,,,
20,William Jackson III,cin,2018,,,,,,Questionable: Knee,,,,,,,,,,
21,Malik Jefferson,cin,2018,,,,,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot
22,Michael Johnson,cin,2018,,,Questionable: Knee,,,,,,,,,,,Questionable: Concussion,,
23,Dre Kirkpatrick,cin,2018,,,,,,,,,,Questionable: Concussion,Questionable: Shoulder,,Out: Ankle,Questionable: Ankle,,Injured Reserve: Shoulder
24,Tyler Kroft,cin,2018,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Out: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
25,Carl Lawson,cin,2018,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
26,Javarius Leamon,cin,2018,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal
27,Josh Malone,cin,2018,,,,,,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,
28,Tony McRae,cin,2018,,,,,,,,,,,,Out: Concussion,Out: Concussion,Questionable: Concussion,Out: Hamstring,Out: Hamstring
29,Joe Mixon,cin,2018,,,Out: Knee,Out: Knee,,,,,,,,,,,,
30,Cedric Ogbuehi,cin,2018,,,,,,Questionable: Wrist,,,,,,,,,,
31,Billy Price,cin,2018,,,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Doubtful: Foot,,,,,,,,
32,Alex Redmond,cin,2018,,,,,,,,,Doubtful: Hamstring,,,,,,,
33,John Ross ,cin,2018,,,,,Out: Groin,Questionable: Groin,,Out: Groin,,Questionable: Groin,,,,,,
34,KeiVarae Russell,cin,2018,,,,,,,,,,,,,,Doubtful: Finger,,
35,Mason Schreck,cin,2018,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
36,Rod Taylor,cin,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
37,Josh Tupou,cin,2018,,,,,,,,,,,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral
38,Nick Vigil,cin,2018,,,,,,,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Out: Knee,,,,,
39,Adolphus Washington,cin,2018,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
40,Christian Westerman ,cin,2018,Injured Reserve: Virus,Injured Reserve: Virus,,,,,,,,,,,,,,
41,Shawn Williams,cin,2018,,,,,,,Questionable: Concussion,,,,,,,,,
