,Player,Team,Year,09/08vs. SEA,09/15vs. SFO,09/22vs. BUF,09/30vs. PIT,10/06vs. ARI,10/13vs. BAL,10/20vs. JAX,10/27vs. LAR,11/10vs. BAL,11/17vs. OAK,11/24vs. PIT,12/01vs. NYJ,12/08vs. CLE,12/15vs. NWE,12/22vs. MIA,12/29vs. CLE
0,Rodney Anderson,cin,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
1,Geno Atkins,cin,2019,,,,,,,,,,Questionable: Ankle,,,,,,
2,Cethan Carter ,cin,2019,,,,,,,,,,,,Out: Concussion,,,,
3,Darqueze Dennard ,cin,2019,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Out: Hamstring,,,,,,Questionable: Illness,,
4,Jeff Driskel,cin,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
5,O'Shea Dugas,cin,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
6,Carlos Dunlap,cin,2019,,,,,,Out: Knee,Doubtful: Knee,,,,,,,,,
7,Clayton Fejedelem,cin,2019,,Questionable: Ankle,,,,,,,,,,,,,,
8,Ryan Glasgow,cin,2019,,,Out: Thigh,Out: Thigh,,Out: Thigh,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
9,Cordy Glenn,cin,2019,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,Out: Concussion,Out: Not Injury Related,Out: Concussion,Questionable: Concussion,,,,,,,
10,A.J. Green,cin,2019,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Injured Reserve: 
11,Bobby Hart ,cin,2019,,,,,,,,,,Questionable: Shoulder,,,,,,
12,Sam Hubbard,cin,2019,,,,,,,,,,,,,Out: Knee,,,
13,William Jackson III,cin,2019,,,,,,,Out: Shoulder,,,,,,,,,Injured Reserve: 
14,Michael Jordan,cin,2019,,,Questionable: Knee,,,,,,,,,,,,,
15,Dre Kirkpatrick,cin,2019,,,,,,,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
16,Carl Lawson,cin,2019,,,Doubtful: Hamstring,Doubtful: Hamstring,,,Out: Hamstring,Out: Hamstring,,,,,,,,
17,John Miller,cin,2019,,,,,,,Out: Groin,Questionable: Groin,,,,,,,Out: Concussion,
18,Joe Mixon,cin,2019,,Questionable: Ankle,,,,,,,,,,,,,,
19,Stanley Morgan Jr.,cin,2019,,,,,,,,,,,Questionable: Illness,,,,,Doubtful: Concussion
20,Darius Phillips,cin,2019,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,
21,Alex Redmond,cin,2019,,,,,,,,,Out: Knee,Out: Knee,,Out: Elbow,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
22,John Ross ,cin,2019,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,
23,Drew Sample,cin,2019,,,,,,,,,,Out: Ankle,Out: Ankle,Out: Ankle,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
24,Niles Scott,cin,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
25,Andre Smith,cin,2019,,,Questionable: Groin,,,Out: Ankle,Out: Ankle,Questionable: Ankle,,,,,,,,
26,Auden Tate,cin,2019,Doubtful: Knee,,,,,,,,,,Questionable: Concussion,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
27,Nick Vigil,cin,2019,,,,,,,,,,,,Questionable: Ankle,,,,
28,B.W. Webb,cin,2019,,,Out: Forearm,,,,,,,,,,,,,
29,Jonah Williams,cin,2019,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: ,Physically Unable to Perform: 
