,Player,Team,Year,09/09vs. PIT,09/16vs. NOR,09/20vs. NYJ,09/30vs. OAK,10/07vs. BAL,10/14vs. LAC,10/21vs. TAM,10/28vs. PIT,11/04vs. KAN,11/11vs. ATL,11/25vs. CIN,12/02vs. HOU,12/09vs. CAR,12/15vs. DEN,12/23vs. CIN,12/30vs. BAL
0,C.J. Board,cle,2018,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
1,Pharaoh Brown,cle,2018,,,,,,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
2,James Burgess,cle,2018,Doubtful: Concussion,,,Out: Knee,Out: Knee,Questionable: Knee,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
3,Antonio Callaway,cle,2018,,,,,,,,,Questionable: Ankle,,,,,,,
4,Orson Charles,cle,2018,,,,,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
5,Austin Corbett,cle,2018,,,,,,,,,,,,Out: Foot,Out: Foot,Out: Foot,Questionable: Foot,
6,Justin Currie ,cle,2018,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
7,Seth Devalve,cle,2018,,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,,,,,,,,
8,E.J. Gaines,cle,2018,Out: Knee,,,,,,Out: Concussion,Out: Concussion,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
9,Phillip Gaines,cle,2018,,,,,,,,,,,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,
