,Player,Team,Year,09/10vs. LAR,09/17vs. ARI,09/24vs. CLE,10/01vs. SEA,10/08vs. SFO,10/16vs. TEN,10/22vs. JAX,10/29vs. CIN,11/05vs. HOU,11/12vs. PIT,11/26vs. TEN,12/03vs. JAX,12/10vs. BUF,12/14vs. DEN,12/23vs. BAL,12/31vs. HOU
0,Kamar Aiken,clt,2017,,,Questionable: Hip,,,,,Questionable: Shoulder,,Out: Hamstring,,,,,,
1,Henry Anderson,clt,2017,,,,,,,,,,Injured Reserve: Throat,Injured Reserve: Throat,Injured Reserve: Throat,Injured Reserve: Throat,Injured Reserve: Throat,Injured Reserve: Throat,Injured Reserve: Throat
2,Deyshawn Bond,clt,2017,,,,,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep
3,Jonathan Bostic,clt,2017,,,,,,Questionable: Calf,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee
4,Quan Bray,clt,2017,,,,,,,,,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
5,Chris Briggs,clt,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
6,Darius Butler,clt,2017,,Out: Hamstring,Questionable: Hamstring,,,,,Questionable: Ankle,,,,,,,,
7,Anthony Castonzo,clt,2017,,,,,,,,,Questionable: Knee,,,,,,,
8,Chris Culliver,clt,2017,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin,Injured Reserve: Groin
9,Darrell Daniels,clt,2017,,,,,,,Questionable: Knee,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,,
