Player,Team,Season,Player_Address,Date,Status,Opp,Injury,Week,Position
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-09-08,Injured Reserve,DET,,1,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-09-15,Injured Reserve,BAL,,2,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-09-22,Injured Reserve,CAR,,3,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-09-29,Injured Reserve,SEA,,4,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-10-06,Injured Reserve,CIN,,5,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-10-13,Injured Reserve,ATL,,6,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-10-20,Injured Reserve,NYG,,7,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-10-27,Injured Reserve,NOR,,8,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-10-31,Injured Reserve,SFO,,9,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-11-10,Injured Reserve,TAM,,10,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-11-17,Injured Reserve,SFO,,11,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-12-01,Injured Reserve,LAR,,13,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-12-08,Injured Reserve,PIT,,14,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-12-15,Injured Reserve,CLE,,15,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-12-22,Injured Reserve,SEA,,16,CB
Robert Alford,ARI,2019.0,/players/A/AlfoRo00,2019-12-29,Injured Reserve,LAR,,17,CB
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-09-08,Injured Reserve,DET,,1,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-09-15,Injured Reserve,BAL,,2,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-09-22,Injured Reserve,CAR,,3,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-09-29,Injured Reserve,SEA,,4,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-10-06,Injured Reserve,CIN,,5,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-10-13,Injured Reserve,ATL,,6,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-10-20,Injured Reserve,NYG,,7,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-10-27,Injured Reserve,NOR,,8,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-10-31,Injured Reserve,SFO,,9,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-11-10,Injured Reserve,TAM,,10,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-11-17,Injured Reserve,SFO,,11,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-12-01,Injured Reserve,LAR,,13,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-12-08,Injured Reserve,PIT,,14,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-12-15,Injured Reserve,CLE,,15,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-12-22,Injured Reserve,SEA,,16,WR
Hakeem Butler,ARI,2019.0,/players/B/ButlHa00,2019-12-29,Injured Reserve,LAR,,17,WR
Lamont Gaillard,ARI,2019.0,/players/G/GailLa00,2019-09-08,Out,DET,Knee,1,OL
Lamont Gaillard,ARI,2019.0,/players/G/GailLa00,2019-09-15,Out,BAL,Knee,2,OL
Lamont Gaillard,ARI,2019.0,/players/G/GailLa00,2019-09-22,Out,CAR,Knee,3,OL
Lamont Gaillard,ARI,2019.0,/players/G/GailLa00,2019-09-29,Questionable,SEA,Knee,4,OL
Max Garcia,ARI,2019.0,/players/G/GarcMa00,2019-09-08,Physically Unable to Perform,DET,,1,C
Max Garcia,ARI,2019.0,/players/G/GarcMa00,2019-09-15,Physically Unable to Perform,BAL,,2,C
Max Garcia,ARI,2019.0,/players/G/GarcMa00,2019-09-22,Physically Unable to Perform,CAR,,3,C
Max Garcia,ARI,2019.0,/players/G/GarcMa00,2019-09-29,Physically Unable to Perform,SEA,,4,C
Max Garcia,ARI,2019.0,/players/G/GarcMa00,2019-10-06,Physically Unable to Perform,CIN,,5,C
Max Garcia,ARI,2019.0,/players/G/GarcMa00,2019-10-13,Physically Unable to Perform,ATL,,6,C
Max Garcia,ARI,2019.0,/players/G/GarcMa00,2019-10-20,Physically Unable to Perform,NYG,,7,C
Max Garcia,ARI,2019.0,/players/G/GarcMa00,2019-10-27,Physically Unable to Perform,NOR,,8,C
Max Garcia,ARI,2019.0,/players/G/GarcMa00,2019-10-31,Physically Unable to Perform,SFO,,9,C
Max Garcia,ARI,2019.0,/players/G/GarcMa00,2019-11-10,Physically Unable to Perform,TAM,,10,C
Max Garcia,ARI,2019.0,/players/G/GarcMa00,2019-12-08,Questionable,PIT,Toe,14,C
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-09-08,Out,DET,Knee,1,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-09-15,Injured Reserve,BAL,,2,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-09-22,Injured Reserve,CAR,,3,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-09-29,Injured Reserve,SEA,,4,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-10-06,Injured Reserve,CIN,,5,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-10-13,Injured Reserve,ATL,,6,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-10-20,Injured Reserve,NYG,,7,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-10-27,Injured Reserve,NOR,,8,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-10-31,Injured Reserve,SFO,,9,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-11-10,Injured Reserve,TAM,,10,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-11-17,Injured Reserve,SFO,,11,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-12-01,Injured Reserve,LAR,,13,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-12-08,Injured Reserve,PIT,,14,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-12-15,Injured Reserve,CLE,,15,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-12-22,Injured Reserve,SEA,,16,RT
Marcus Gilbert,ARI,2019.0,/players/G/GilbMa00,2019-12-29,Injured Reserve,LAR,,17,RT
Rees Odhiambo,ARI,2019.0,/players/O/OdhiRe00,2019-09-08,Injured Reserve,DET,,1,OG
Haason Reddick,ARI,2019.0,/players/R/ReddHa00,2019-09-08,Questionable,DET,Knee,1,OLB
Haason Reddick,ARI,2019.0,/players/R/ReddHa00,2019-10-13,Questionable,ATL,Shoulder,6,OLB
Haason Reddick,ARI,2019.0,/players/R/ReddHa00,2019-10-27,Questionable,NOR,Knee,8,OLB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-09-08,Injured Reserve,DET,,1,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-09-15,Injured Reserve,BAL,,2,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-09-22,Injured Reserve,CAR,,3,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-09-29,Injured Reserve,SEA,,4,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-10-06,Injured Reserve,CIN,,5,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-10-13,Injured Reserve,ATL,,6,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-10-20,Injured Reserve,NYG,,7,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-10-27,Injured Reserve,NOR,,8,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-10-31,Injured Reserve,SFO,,9,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-11-10,Injured Reserve,TAM,,10,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-11-17,Injured Reserve,SFO,,11,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-12-01,Injured Reserve,LAR,,13,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-12-08,Injured Reserve,PIT,,14,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-12-15,Injured Reserve,CLE,,15,CB
Josh Shaw,ARI,2019.0,/players/S/ShawJo00,2019-12-22,Injured Reserve,SEA,,16,CB
William Sweet,ARI,2019.0,/players/S/SweeWi01,2019-09-08,Injured Reserve,DET,,1,
William Sweet,ARI,2019.0,/players/S/SweeWi01,2019-09-15,Injured Reserve,BAL,,2,
William Sweet,ARI,2019.0,/players/S/SweeWi01,2019-09-22,Injured Reserve,CAR,,3,
William Sweet,ARI,2019.0,/players/S/SweeWi01,2019-09-29,Injured Reserve,SEA,,4,
