Player_Address,Player,Position
/players/A/AndeBr00,Bruce Anderson,RB
/players/B/BarnMi01,Michael Barnett,DT
/players/B/BaylOm01,Omar Bayless,WR
/players/B/BreeJa01,Jacob Breeland,TE
/players/B/BrowIs00,Ike Brown,DB
/players/C/CajuYo00,Yodny Cajuste,OL
/players/C/CarrPa01,Patrick Carr,RB
/players/C/ClarCa00,Cameron Clark,OL
/players/C/ClarDa01,Darion Clark,TE
/players/C/CornJa01,Jashon Cornell,DE
/players/D/DaltJa00,Jalen Dalton,DT
/players/D/DelpGr00,Grant Delpit,S
/players/D/DorbDr00,Drake Dorbeck,T
/players/D/DornMy01,Myles Dorn,DB
/players/E/EntoKa00,Kabion Ento,WR
/players/F/FortAu00,Austin Fort,TE
/players/F/FromJa00,Jake Fromm,QB
/players/G/GillBl00,Blake Gillikin,P
/players/G/GuidSt01,Stephen Guidry,WR
/players/H/HallEm01,Emanuel Hall,WR
/players/H/HodgIs00,Isaiah Hodgins,WR
/players/H/HurdJa00,Jalen Hurd,WR
/players/H/HursJo00,John Hurst,WR
/players/H/HyatMi01,Mitch Hyatt,T
/players/J/JoseMi00,Michael Joseph,CB
/players/K/KamaAz01,Azur Kamara,LB
/players/K/KoloLe00,Leo Koloamatangi,OG
/players/L/LandJa01,Jaquarius Landrews,DB
/players/L/LoveBr00,Bryce Love,RB
/players/L/LoveJo03,Jordan Love,QBThrows:Right
/players/M/MackJo02,Jordan Mack,LB
/players/M/McKiAn00,Anthony McKinney,T
/players/M/MencEl00,Eli Mencer,DE
/players/M/MolcJo01,John Molchon,G
/players/M/MoorJa01,Jalin Moore,RB
/players/M/MossTh01,Thaddeus Moss,TE
/players/M/MuseTa00,Tanner Muse,S
/players/N/NianLu00,Lucas Balthazar Niang,OL
/players/O/ObinGe00,George Obinna,DE
/players/P/PridMa00,Malcolm Pridgeon,G
/players/R/ReynRo00,Ross Reynolds,G
/players/R/RobeTr03,Tre Roberson,CB
/players/S/SeatBr00,Brad Seaton,OT
/players/S/SillDa01,David Sills V,WR
