Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps,Year,Week,Tackle %,Sack %,QB Hit %
Aaron Rodgers ,QB,GB,1,75,75,94,1,0,60,60,30.8,41.1,2020,1,,,
Adrian Peterson ,RB,DET,1,24,24,31,58,13,71,71,11.4,47.5,2020,1,,,
Ben Roethlisberger ,QB,PIT,1,64,64,98,5,0,55,55,22.1,34.5,2020,1,,,
Danny Amendola ,WR,DET,1,44,44,56,0,16,11,16,8.1,18.4,2020,1,,,
DeSean Jackson ,WR,PHI,1,38,38,56,0,18,5,18,4.6,12.1,2020,1,,,
Drew Brees ,QB,NO,1,66,66,96,3,0,48,48,14.4,21.8,2020,1,,,
Frank Gore ,RB,NYJ,1,14,14,25,43,0,43,43,2.4,17.1,2020,1,,,
Greg Olsen ,TE,SEA,1,41,41,64,0,10,10,10,8.4,20.5,2020,1,,,
Jared Cook ,TE,NO,1,44,44,64,0,16,11,16,8.0,18.2,2020,1,,,
Jason Witten ,TE,LV,1,29,29,45,0,3,3,3,0.2,0.7,2020,1,,,
Julian Edelman ,WR,NE,1,38,38,58,3,18,16,21,8.0,21.1,2020,1,,,
Larry Fitzgerald ,WR,ARI,1,65,65,79,0,8,6,8,3.4,5.2,2020,1,,,
LeSean McCoy ,RB,TB,1,25,25,36,0,4,4,4,0.2,0.8,2020,1,,,
Marcedes Lewis ,TE,GB,1,32,32,40,0,0,0,0,0.0,0.0,2020,1,,,
Matt Ryan ,QB,ATL,1,79,79,99,1,0,70,70,24.9,31.5,2020,1,,,
Matthew Slater ,WR,NE,1,1,1,2,0,0,0,0,0.0,0.0,2020,1,,,
Matthew Stafford ,QB,DET,1,78,78,100,6,0,60,60,17.2,22.1,2020,1,,,
Philip Rivers ,QB,IND,1,73,73,99,1,0,64,64,16.8,23.0,2020,1,,,
Ryan Fitzpatrick ,QB,MIA,1,62,62,100,8,0,56,56,8.4,13.5,2020,1,,,
Ted Ginn Jr. ,WR,CHI,1,28,28,43,0,4,0,4,0.0,0.0,2020,1,,,
Tom Brady ,QB,TB,1,70,70,100,4,0,56,56,22.5,32.1,2020,1,,,
Andre Roberts ,WR,BUF,1,2,2,2,0,0,0,0,0.0,0.0,2020,1,,,
Emmanuel Sanders ,WR,NO,1,33,33,48,0,15,9,15,7.5,22.7,2020,1,,,
Jimmy Graham ,TE,CHI,1,53,53,82,0,13,6,13,8.5,16.0,2020,1,,,
Rob Gronkowski ,TE,TB,1,54,54,77,0,6,4,6,1.1,2.0,2020,1,,,
A.J. Green ,WR,CIN,1,45,45,66,0,20,11,20,5.1,11.3,2020,1,,,
Julio Jones ,WR,ATL,1,65,65,81,0,18,14,18,15.7,24.2,2020,1,,,
Cam Newton ,QB,NE,1,64,64,98,23,0,53,53,25.7,40.2,2020,1,,,
Mark Ingram II ,RB,BAL,1,21,21,36,48,0,48,48,2.9,13.8,2020,1,,,
Randall Cobb ,WR,HOU,1,46,46,78,0,7,4,7,2.3,5.0,2020,1,,,
Kyle Rudolph ,TE,MIN,1,32,32,62,0,6,6,6,2.8,8.8,2020,1,,,
Luke Stocker ,TE,ATL,1,26,26,33,0,4,0,4,0.0,0.0,2020,1,,,
Anthony Sherman ,RB,KC,1,11,11,16,9,0,9,9,0.2,1.8,2020,1,,,
Dion Lewis ,RB,NYG,1,6,6,9,17,17,17,33,0.1,1.7,2020,1,,,
Tyrod Taylor ,QB,LAC,1,74,74,100,8,0,49,49,9.0,12.2,2020,1,,,
Virgil Green ,TE,LAC,1,24,24,32,0,8,4,8,1.0,4.2,2020,1,,,
Bruce Miller ,TE,JAC,1,12,12,24,0,8,8,8,0.2,1.7,2020,1,,,
Robert Griffin III ,QB,BAL,1,6,6,10,17,0,33,33,0.3,5.0,2020,1,,,
Ryan Tannehill ,QB,TEN,1,81,81,100,4,0,57,57,19.4,24.0,2020,1,,,
Kirk Cousins ,QB,MIN,1,52,52,100,8,0,56,56,22.8,43.8,2020,1,,,
Russell Wilson ,QB,SEA,1,62,62,97,5,0,61,61,31.8,51.3,2020,1,,,
T.Y. Hilton ,WR,IND,1,59,59,80,0,15,7,15,5.3,9.0,2020,1,,,
Marvin Jones Jr. ,WR,DET,1,71,71,91,0,11,6,11,5.5,7.7,2020,1,,,
Cole Beasley ,WR,BUF,1,56,56,64,0,13,7,13,5.8,10.4,2020,1,,,
Chris Hogan ,WR,NYJ,1,51,51,91,0,8,2,8,0.0,0.0,2020,1,,,
