,Player,Team,Year,09/08vs. ARI,09/15vs. LAC,09/22vs. PHI,09/29vs. KAN,10/14vs. GNB,10/20vs. MIN,10/27vs. NYG,11/03vs. OAK,11/10vs. CHI,11/17vs. DAL,11/24vs. WAS,11/28vs. CHI,12/08vs. MIN,12/15vs. TAM,12/22vs. DEN,12/29vs. GNB
0,Jamal Agnew,det,2019,,,,,,,,,,,Out: Ankle,Out: Ankle,Questionable: Ankle,,,
1,Danny Amendola,det,2019,,,,Questionable: Chest,Questionable: Chest,,,,,,,,,,,
2,John Atkins,det,2019,,,,,,,,,,,,,,Questionable: Illness,,
3,Nick Bawden,det,2019,,,,,,Questionable: Back,Questionable: Foot,,,Questionable: Foot,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
4,Austin Bryant,det,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,Doubtful: Hip,,,
5,Tra Carson,det,2019,,,,,,,,Injured Reserve: ,Injured Reserve: ,,,,,,,
6,Joe Dahl,det,2019,,,,,,,,,Questionable: Ankle,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
7,Mike Daniels,det,2019,,,,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Doubtful: Foot,Questionable: Foot,,,,,,Injured Reserve: ,Injured Reserve: 
8,Jarrad Davis,det,2019,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,,,,,Out: Ankle,Injured Reserve: ,Injured Reserve: 
9,Taylor Decker,det,2019,,Questionable: Back,Questionable: Back,,,,,,,,,,,,,
10,Quandre Diggs,det,2019,,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,
11,Jeff Driskel,det,2019,,,,,,,,,,,,Questionable: Hamstring,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
12,Trey Flowers,det,2019,,,,,,,,,,,Out: Concussion,Questionable: Concussion,,,,
13,Graham Glasgow,det,2019,,,,,,,,Questionable: Back,Questionable: Back,,,,,,,
14,Marvin Hall,det,2019,,,,,,,,,,,,Out: Foot,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
15,Da'Shawn Hand,det,2019,Out: Elbow,Questionable: Elbow,Out: Elbow,Questionable: Elbow,Questionable: Elbow,Questionable: Elbow,,,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,Out: Ankle,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
16,Damon Harrison,det,2019,,,,,,,Questionable: Groin,Questionable: Groin,Questionable: Groin,Questionable: Groin,,Questionable: Knee,,,,
17,T.J. Hockenson ,det,2019,,,,,Questionable: Concussion,,,,,,,Questionable: Shoulder,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
18,Kerryon Johnson,det,2019,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,
19,Christian Jones,det,2019,,,,,,,,,,,,,,Questionable: Shoulder,Injured Reserve: ,Injured Reserve: 
20,Marvin Jones ,det,2019,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
21,Jermaine Kearse,det,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
22,Devon Kennard,det,2019,,,,,,,,,,,,,,,Questionable: Hamstring,Questionable: Shoulder
23,Darius Kilgo,det,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
24,Miles Killebrew,det,2019,,,,,,,,,Out: Concussion,,,,,,,
25,Tre Lamar,det,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
