,Player,Team,Year,09/10vs. SEA,09/17vs. ATL,09/24vs. CIN,09/28vs. CHI,10/08vs. DAL,10/15vs. MIN,10/22vs. NOR,11/06vs. DET,11/12vs. CHI,11/19vs. BAL,11/26vs. PIT,12/03vs. TAM,12/10vs. CLE,12/17vs. CAR,12/23vs. MIN,12/31vs. DET
0,Davante Adams,gnb,2017,,,,,Questionable: Concussion,,,,,,,,,,Out: Concussion,Out: Concussion
1,Montravius Adams,gnb,2017,Injured Reserve: Foot,Questionable: Foot,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,,,Injured Reserve: Foot,,Injured Reserve: Foot,,Injured Reserve: Foot,,
2,Geronimo Allison,gnb,2017,,,,,,,,,,,,,,,,Questionable: Illness
3,David Bakhtiari,gnb,2017,,Questionable: Hamstring,Doubtful: Hamstring,Doubtful: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,
4,Don Barclay,gnb,2017,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
5,Martellus Bennett ,gnb,2017,,,,,,,,Doubtful: Shoulder,,,,,,,,
6,Vince Biegel,gnb,2017,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,,,,,,,,,
7,Kentrell Brice,gnb,2017,,Questionable: Quadricep,Doubtful: Groin,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
8,Ahmad Brooks,gnb,2017,,Doubtful: Concussion,,,Questionable: Back,Doubtful: Back,Out: Back,Doubtful: Back,Questionable: Back,Questionable: Back,,Questionable: Back,,,,
9,Bryan Bulaga,gnb,2017,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Doubtful: Ankle,Questionable: Ankle,Questionable: Ankle,,,Injured Reserve: Knee,Out: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
