,Player,Team,Year,09/10vs. JAX,09/14vs. CIN,09/24vs. NWE,10/01vs. TEN,10/08vs. KAN,10/15vs. CLE,10/29vs. SEA,11/05vs. IND,11/12vs. LAR,11/19vs. ARI,11/27vs. BAL,12/03vs. TEN,12/10vs. SFO,12/17vs. JAX,12/25vs. PIT,12/31vs. IND
0,Jeff Allen,htx,2017,,Out: Ankle,Out: Ankle,,,,,,,,,,,,Out: Concussion,Out: Concussion
1,Stephen Anderson,htx,2017,,Out: Concussion,,,,,,,,,,,,,,
2,Alfred Blue,htx,2017,Out: Ankle,Out: Ankle,Questionable: Ankle,,,,,,,Questionable: Hamstring,,,Out: Concussion,,,
3,Marcus Burley,htx,2017,,,,Questionable: Knee,,,,,,,,,,,,
4,Chris Clark,htx,2017,,,,,,,Out: Calf,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
5,Jadeveon Clowney,htx,2017,,,,,,,,,,,,,,Questionable: Knee,,
6,Dylan Cole,htx,2017,,,,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,,,,,,
7,Christian Covington ,htx,2017,,,,,,,,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep
8,Brian Cushing,htx,2017,,Out: Concussion,,,,,,,,,,,,,,
9,Julie'n Davenport,htx,2017,,,,,,,,,,Out: Shoulder,Out: Shoulder,Out: Shoulder,Out: Shoulder,,,
10,Brandon Dunn,htx,2017,,,Questionable: Knee,,,,,,,,,,,,,
11,Bruce Ellington,htx,2017,,Out: Concussion,,,,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
12,Tyler Ervin ,htx,2017,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
13,C.J. Fiedorowicz,htx,2017,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,,,,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
14,D'Onta Foreman,htx,2017,,,,,,,,,,,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
15,Kyle Fuller,htx,2017,,,,,Out: Hamstring,,,,,,,,,,,
16,Will Fuller,htx,2017,Out: Shoulder,Out: Shoulder,Out: Shoulder,,,,,,,Out: Ribs,Out: Ribs,Out: Ribs,,,,
17,Matthew Godin,htx,2017,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
18,Deante Gray,htx,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
19,Ryan Griffin,htx,2017,,Out: Concussion,,,,,,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
20,Joel Heath,htx,2017,,,,,,,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,,
21,Ben Heeney,htx,2017,,,,,Out: Knee,Out: Knee,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
22,DeAndre Hopkins,htx,2017,,,,,,,,,,,,,,Questionable: Toe,,Out: Calf
23,Jelani Jenkins,htx,2017,,,,,,,Questionable: Hand,,,,,,Out: Concussion,Out: Concussion,,
24,Kevin Johnson,htx,2017,,,Out: Knee,Out: Knee,Out: Knee,Out: Knee,,,,,,,,,,
25,Johnathan Joseph,htx,2017,,,,,,,,Questionable: Shin,,,,,,,,
26,Kendall Lamm,htx,2017,,,,,,,,,,,,,,Out: Concussion,Out: Concussion,Questionable: Concussion
27,Kendall Langford,htx,2017,,,,,,,Questionable: Back,,,,,,,,,
28,LaTroy Lewis,htx,2017,,,,,,,,,,,,,,,Out: Shoulder,Questionable: Shoulder
29,Greg Mancz,htx,2017,,,,Out: Knee,Questionable: Knee,Questionable: Knee,,,,Questionable: Knee,Out: Shoulder,,,,,
30,Nick Martin ,htx,2017,,,,,,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle
31,Benardrick McKinney,htx,2017,,,,,,Questionable: Hip,,,,,,,,,,
32,Whitney Mercilus,htx,2017,,,,,,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral,Injured Reserve: Pectoral
33,Braxton Miller,htx,2017,,,,,,,,,,,,,Out: Concussion,Out: Concussion,,
34,Corey Moore ,htx,2017,,,,,,Out: Concussion,,,,,,,,,,Injured Reserve: Knee
35,Derek Newton,htx,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
36,MyCole Pruitt,htx,2017,,,,,,,,,,,,,,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf
37,D.J. Reader,htx,2017,,,,,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee
38,Tom Savage ,htx,2017,,,,,,,,,,,,,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
39,Brennan Scarlett,htx,2017,,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
40,Devin Street,htx,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
41,Xavier Su'a-Filo,htx,2017,,,,,,,,,,,,,Questionable: Groin,,,
42,Chris Thompson,htx,2017,,,,,,,,,,Questionable: Knee,,,,,,
43,Jordan Todman,htx,2017,,,,,,Out: Calf,,,,,,,,,,Out: Shoulder
