,Player,Team,Year,09/09vs. NWE,09/16vs. TEN,09/23vs. NYG,09/30vs. IND,10/07vs. DAL,10/14vs. BUF,10/21vs. JAX,10/25vs. MIA,11/04vs. DEN,11/18vs. WAS,11/26vs. TEN,12/02vs. CLE,12/09vs. IND,12/15vs. NYJ,12/23vs. PHI,12/30vs. JAX,01/05vs. IND
0,Tyrell Adams,htx,2018,,,,,,,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,
1,Johnson Bademosi,htx,2018,,Questionable: Knee,,,,,,,,,,,,,,,
2,Jadeveon Clowney,htx,2018,,Questionable: Back,,,,,,,Questionable: Groin,,,,,,,,
3,Sammie Coates,htx,2018,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,Questionable: Illness,,,,,,
4,Dylan Cole,htx,2018,,,,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,,,,,,
5,Aaron Colvin,htx,2018,,,,,Out: Ankle,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,
6,Keke Coutee,htx,2018,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,Questionable: Hamstring,,,Out: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,
7,Christian Covington ,htx,2018,,Questionable: Thigh,,,,,,,,,,,,,,,
8,Zach Cunningham,htx,2018,,,,,,,,,Out: Knee,Questionable: Knee,,,,,,,
9,Brandon Dunn,htx,2018,,,,,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,
10,Duke Ejiofor,htx,2018,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,Questionable: Shoulder,Questionable: Shoulder,,,,,,
11,Bruce Ellington,htx,2018,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,Injured Reserve: Hamstring,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
12,D'Onta Foreman,htx,2018,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,,Injured Reserve: Achilles,
13,Will Fuller,htx,2018,Questionable: Hamstring,Questionable: Hamstring,,,Questionable: Hamstring,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
14,Zach Fulton,htx,2018,,,,,,,Questionable: Ankle,Out: Ankle,,,Questionable: Shoulder,,Out: Hand,Questionable: Hand,,,
15,Matthew Godin,htx,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
16,Ryan Griffin,htx,2018,,,,,,,Out: Illness,Out: Illness,,,,,,,,,
17,Andre Hal,htx,2018,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,Injured Reserve: Illness,,Out: Shoulder,Questionable: Shoulder,,,,,Questionable: Ankle,,,
