,Player,Team,Year,09/08vs. JAX,09/15vs. OAK,09/22vs. BAL,09/29vs. DET,10/06vs. IND,10/13vs. HOU,10/17vs. DEN,10/27vs. GNB,11/03vs. MIN,11/10vs. TEN,11/18vs. LAC,12/01vs. OAK,12/08vs. NWE,12/15vs. DEN,12/22vs. CHI,12/29vs. LAC,01/12vs. HOU,01/19vs. TEN,02/02vs. SFO
0,Blake Bell,kan,2019,,,,,,,,,,,Out: Ankle,,,,,,,,
1,Bashaud Breeland,kan,2019,,,,,,,Questionable: Not Injury Related,,,,,,,,,,,,
2,Morris Claiborne,kan,2019,,,,,,,,,,,,,Out: Shoulder,Out: Shoulder,Out: Shoulder,Out: Shoulder,Out: Not Injury Related,,
3,Frank Clark ,kan,2019,,,,,,,,Out: Neck,Questionable: Neck,Questionable: Neck,,,Questionable: Shoulder,Questionable: Illness,,,,,
4,Felton Davis,kan,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
5,Gehrig Dieter ,kan,2019,Injured Reserve: ,,,,,,,,,,,,,,,,,,
6,Laurent Duvernay-Tardif,kan,2019,,,,,,,,,Out: Ankle,Questionable: Ankle,,,,,,,,,
7,Cameron Erving,kan,2019,,,,,,,,,,,,,,,,Questionable: Illness,,,
8,Rashad Fenton,kan,2019,,,,,,,,,,,,,Out: Hamstring,Out: Hamstring,,,,,
9,Eric Fisher,kan,2019,,Questionable: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,,,,,,,,,
10,Kendall Fuller,kan,2019,,,,,,,Out: Thumb,Out: Thumb,Questionable: Thumb,Questionable: Thumb,Questionable: Thumb,,,,,,,,
11,Davon Grayson,kan,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
12,Darius Harris,kan,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
13,Chad Henne,kan,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,
14,Tyreek Hill,kan,2019,,Out: Shoulder,Out: Shoulder,Out: Shoulder,Out: Shoulder,Questionable: Shoulder,,,,,,,,,,,,,
15,Anthony Hitchens,kan,2019,,,,,,Questionable: Groin,,,,,,,,,,,,,
16,Chris Jones,kan,2019,,,,,,Out: Groin,Out: Groin,Out: Groin,Questionable: Groin,,,,,,,,Questionable: Calf,Questionable: Calf,
17,Travis Kelce,kan,2019,,,,,,,,,,,,,,,,,Questionable: Knee,,
18,Marcus Kemp,kan,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
19,Anthony Lanier ,kan,2019,,,,,,,,,,,,,,,,,reserve/future: ,reserve/future: ,reserve/future: 
20,Darron Lee ,kan,2019,,,,,,,,Questionable: Illness,,,,,,,,,,,
21,John Lovett,kan,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
22,Jordan Lucas,kan,2019,Questionable: Back,,,,,,,,,,,,Questionable: Illness,,,,,,
23,Alize Mack,kan,2019,,,,,,,,,,,,,,,,,reserve/future: ,reserve/future: ,reserve/future: 
24,Patrick Mahomes ,kan,2019,,,,,,,,Out: Knee,Questionable: Knee,,,,,,,,,,
25,Marcus Marshall,kan,2019,,,,,,,,,,,,,,,,,reserve/future: ,reserve/future: ,reserve/future: 
26,LeSean McCoy,kan,2019,,,Questionable: Ankle,,,,,,,,,,,,,,,Questionable: Illness,
27,Matt Moore,kan,2019,,,,,,,,,,,,,,,,,,Questionable: Illness,
28,Dorian O'Daniel,kan,2019,,,,,Out: Hamstring,Out: Hamstring,,,,,,,,,,,,,
29,Emmanuel Ogbah,kan,2019,,,,,,,,,,,Out: Pectoral,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
30,Alex Okafor,kan,2019,,,,,Questionable: Hip,,,,Out: Ankle,Out: Ankle,Out: Ankle,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
31,Martinas Rankin,kan,2019,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
32,Keith Reaser,kan,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
33,Greg Senat,kan,2019,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
34,Breeland Speaks,kan,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
35,Juan Thornhill,kan,2019,,,,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
36,Tim Ward,kan,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
37,Spencer Ware,kan,2019,,,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
38,Sammy Watkins,kan,2019,,,,,Questionable: Shoulder,Doubtful: Hamstring,Out: Hamstring,,,,,,,,,,,,
39,David Wells,kan,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
40,Damien Williams ,kan,2019,,,Out: Knee,Out: Knee,Questionable: Knee,,,,,,Questionable: Not Injury Related,Out: Rib,Out: Rib,Questionable: Rib,,,,,
41,Darrel Williams,kan,2019,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
42,Xavier Williams,kan,2019,Questionable: Illness,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Questionable: Ankle,,,
43,Andrew Wylie,kan,2019,,,,,,Doubtful: Ankle,Out: Ankle,Out: Ankle,,,,,,,Out: Illness,Questionable: Ankle,,,
