Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury,Healthy_Week
A'Shawn Robinson,21.174,DL,DET,2016-09-11,Sun,2016,1,1.0,Away,IND,W 39-35,1.5,23.0,23.0,,,1
A'Shawn Robinson,21.181,DL,DET,2016-09-18,Sun,2016,2,2.0,Home,TEN,L 15-16,3.0,19.0,19.0,,,2
A'Shawn Robinson,21.188,DL,DET,2016-09-25,Sun,2016,3,3.0,Away,GNB,L 27-34,5.0,22.0,22.0,,,3
A'Shawn Robinson,21.195,DL,DET,2016-10-02,Sun,2016,4,4.0,Away,CHI,L 14-17,3.5,20.0,20.0,,,4
A'Shawn Robinson,21.202,DL,DET,2016-10-09,Sun,2016,5,5.0,Home,PHI,W 24-23,7.0,19.0,19.0,,,5
AJ Derby,24.357,TE,NWE,2016-09-11,Sun,2016,1,1.0,Away,ARI,W 23-21,0.0,20.0,0.28,,,1
AJ Derby,,,,,,2016,2,,,,,,,,,,2
AJ Derby,,,,,,2016,3,,,,,,,,,,3
AJ Derby,25.012,TE,NWE,2016-10-02,Sun,2016,4,4.0,Home,BUF,L 0-16,0.0,1.0,0.02,,,4
AJ Derby,25.019,TE,NWE,2016-10-09,Sun,2016,5,5.0,Away,CLE,W 33-13,0.0,11.0,0.14,,,5
AJ Derby,25.026,TE,NWE,2016-10-16,Sun,2016,6,6.0,Home,CIN,W 35-17,0.0,3.0,0.05,,,6
AJ Derby,,,,,,2016,7,,,,,,,,,,7
AJ Derby,,,,,,2016,8,,,,,,,,,,8
AJ Derby,25.047,TE,DEN,2016-11-06,Sun,2016,9,9.0,Away,OAK,L 20-30,0.0,5.0,0.09,,,9
AJ Derby,25.054,TE,DEN,2016-11-13,Sun,2016,10,10.0,Away,NOR,W 25-23,3.2,44.0,0.53,,,10
AJ Derby,,,,,,2016,11,,,,,,,,,,11
AJ Derby,25.068,TE,DEN,2016-11-27,Sun,2016,12,11.0,Home,KAN,L 27-30,6.3,38.0,0.48,,,12
AJ Derby,25.075,TE,DEN,2016-12-04,Sun,2016,13,12.0,Away,JAX,W 20-10,0.8,34.0,0.62,,,13
AJ Derby,25.082,TE,DEN,2016-12-11,Sun,2016,14,13.0,Away,TEN,L 10-13,6.199999999999999,35.0,0.54,,,14
AJ Derby,25.089,TE,DEN,2016-12-18,Sun,2016,15,14.0,Home,NWE,L 3-16,5.5,31.0,0.5,,,15
AJ Green,28.042,WR,CIN,2016-09-11,Sun,2016,1,1.0,Away,NYJ,W 23-22,30.0,54.0,0.95,,,1
AJ Green,28.049,WR,CIN,2016-09-18,Sun,2016,2,2.0,Away,PIT,L 16-24,4.800000000000001,72.0,0.95,,,2
AJ Green,28.056,WR,CIN,2016-09-25,Sun,2016,3,3.0,Home,DEN,L 17-29,11.7,64.0,0.96,,,3
AJ Green,28.06,WR,CIN,2016-09-29,Thu,2016,4,4.0,Home,MIA,W 22-7,28.3,59.0,0.84,,,4
AJ Green,28.07,WR,CIN,2016-10-09,Sun,2016,5,5.0,Away,DAL,L 14-28,7.0,59.0,0.84,,,5
AJ Green,28.077,WR,CIN,2016-10-16,Sun,2016,6,6.0,Away,NWE,L 17-35,11.8,62.0,0.91,,,6
AJ Green,28.084,WR,CIN,2016-10-23,Sun,2016,7,7.0,Home,CLE,W 31-17,26.9,52.0,0.85,,,7
AJ Green,28.091,WR,CIN,2016-10-30,Sun,2016,8,8.0,Home,WAS,T 27-27,16.6,82.0,0.93,,,8
AJ Green,,,,,,2016,9,,,,,,,,,,9
AJ Green,28.106,WR,CIN,2016-11-14,Mon,2016,10,9.0,Away,NYG,L 20-21,16.3,50.0,0.86,,,10
AJ Green,28.112,WR,CIN,2016-11-20,Sun,2016,11,10.0,Home,BUF,L 12-16,0.0,2.0,0.03,,,11
Aaron Colvin,,,,,,2016,1,,,,,,,,,,1
Aaron Colvin,,,,,,2016,2,,,,,,,,,,2
Aaron Colvin,,,,,,2016,3,,,,,,,,,,3
Aaron Colvin,,,,,,2016,4,,,,,,,,,,4
Aaron Colvin,,,,,,2016,5,,,,,,,,,,5
Aaron Colvin,25.014,DB,JAX,2016-10-16,Sun,2016,6,5.0,Away,CHI,W 17-16,9.5,53.0,53.0,,,6
Aaron Colvin,25.021,DB,JAX,2016-10-23,Sun,2016,7,6.0,Home,OAK,L 16-33,4.5,39.0,39.0,,,7
Aaron Colvin,25.025,DB,JAX,2016-10-27,Thu,2016,8,7.0,Away,TEN,L 22-36,2.25,44.0,44.0,,,8
Aaron Lynch,,,,,,2016,1,,,,,,,,,,1
Aaron Lynch,,,,,,2016,2,,,,,,,,,,2
Aaron Lynch,,,,,,2016,3,,,,,,,,,,3
Aaron Lynch,,,,,,2016,4,,,,,,,,,,4
Aaron Lynch,23.241,LB,SFO,2016-10-06,Thu,2016,5,5.0,Home,ARI,L 21-33,5.0,34.0,34.0,,,5
Aaron Lynch,23.251,LB,SFO,2016-10-16,Sun,2016,6,6.0,Away,BUF,L 16-45,2.0,39.0,39.0,,,6
Aaron Lynch,23.258,LB,SFO,2016-10-23,Sun,2016,7,7.0,Home,TAM,L 17-34,10.5,48.0,48.0,,,7
Aaron Lynch,,,,,,2016,8,,,,,,,,,,8
Aaron Ripkowski,23.266,RB,GNB,2016-09-11,Sun,2016,1,1.0,Away,JAX,W 27-23,0.0,8.0,0.13,,,1
Aaron Ripkowski,23.273,RB,GNB,2016-09-18,Sun,2016,2,2.0,Away,MIN,L 14-17,0.0,2.0,0.03,,,2
Aaron Ripkowski,23.28,RB,GNB,2016-09-25,Sun,2016,3,3.0,Home,DET,W 34-27,0.0,11.0,0.2,,,3
Aaron Ripkowski,,,,,,2016,4,,,,,,,,,,4
Aaron Ripkowski,23.294,RB,GNB,2016-10-09,Sun,2016,5,4.0,Home,NYG,W 23-16,1.7000000000000002,25.0,0.31,,,5
Aaron Ripkowski,23.301,RB,GNB,2016-10-16,Sun,2016,6,5.0,Home,DAL,L 16-30,0.7,17.0,0.24,,,6
Aaron Ripkowski,23.305,RB,GNB,2016-10-20,Thu,2016,7,6.0,Home,CHI,W 26-10,6.1,22.0,0.25,,,7
Aaron Ripkowski,23.315,RB,GNB,2016-10-30,Sun,2016,8,7.0,Away,ATL,L 32-33,3.8,32.0,0.52,,,8
Aaron Ripkowski,23.322,RB,GNB,2016-11-06,Sun,2016,9,8.0,Home,IND,L 26-31,1.2000000000000002,22.0,0.32,,,9
Aaron Ripkowski,23.329,RB,GNB,2016-11-13,Sun,2016,10,9.0,Away,TEN,L 25-47,0.0,,,,,10
Aaron Ripkowski,23.336,RB,GNB,2016-11-20,Sun,2016,11,10.0,Away,WAS,L 24-42,1.65,14.0,0.21,,,11
Aaron Ripkowski,23.344,RB,GNB,2016-11-28,Mon,2016,12,11.0,Away,PHI,W 27-13,8.6,25.0,0.35,,,12
Aaron Ripkowski,23.35,RB,GNB,2016-12-04,Sun,2016,13,12.0,Home,HOU,W 21-13,9.8,24.0,0.41,,,13
Aaron Ripkowski,23.357,RB,GNB,2016-12-11,Sun,2016,14,13.0,Home,SEA,W 38-10,0.2,24.0,0.41,,,14
Aaron Rodgers,32.284,QB,GNB,2016-09-11,Sun,2016,1,1.0,Away,JAX,W 27-23,23.56,64.0,1.0,,,1
Aaron Rodgers,32.291,QB,GNB,2016-09-18,Sun,2016,2,2.0,Away,MIN,L 14-17,18.42,71.0,1.0,,,2
Aaron Rodgers,32.298,QB,GNB,2016-09-25,Sun,2016,3,3.0,Home,DET,W 34-27,26.4,54.0,1.0,,,3
Aaron Rodgers,,,,,,2016,4,,,,,,,,,,4
Aaron Rodgers,32.312,QB,GNB,2016-10-09,Sun,2016,5,4.0,Home,NYG,W 23-16,17.86,80.0,1.0,,,5
Aaron Rodgers,32.319,QB,GNB,2016-10-16,Sun,2016,6,5.0,Home,DAL,L 16-30,13.46,70.0,1.0,,,6
Aaron Rodgers,32.323,QB,GNB,2016-10-20,Thu,2016,7,6.0,Home,CHI,W 26-10,23.74,87.0,0.99,,,7
Aaron Rodgers,32.333,QB,GNB,2016-10-30,Sun,2016,8,7.0,Away,ATL,L 32-33,33.84,62.0,1.0,,,8
Aaron Rodgers,32.34,QB,GNB,2016-11-06,Sun,2016,9,8.0,Home,IND,L 26-31,27.180000000000003,69.0,1.0,,,9
Aaron Rodgers,32.347,QB,GNB,2016-11-13,Sun,2016,10,9.0,Away,TEN,L 25-47,29.54,74.0,0.95,,,10
