Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury
AJ Cann,,,JAX,2017-11-05,Sun,2017,9,8.0,Home,CIN,W 23-7,,,,Questionable,Tricep
AJ Cann,26.02,RG,JAX,2017-11-12,Sun,2017,10,9.0,Home,LAC,W 20-17,0.0,,,Questionable,Tricep
AJ Cann,26.027,RG,JAX,2017-11-19,Sun,2017,11,10.0,Away,CLE,W 19-7,0.0,,,,
AJ Cann,26.034,RG,JAX,2017-11-26,Sun,2017,12,11.0,Away,ARI,L 24-27,0.0,,,,
AJ Cann,26.041,RG,JAX,2017-12-03,Sun,2017,13,12.0,Home,IND,W 30-10,0.0,,,,
AJ Cann,26.048,RG,JAX,2017-12-10,Sun,2017,14,13.0,Home,SEA,W 30-24,0.0,,,,
AJ Cann,26.055,RG,JAX,2017-12-17,Sun,2017,15,14.0,Home,HOU,W 45-7,0.0,,,,
AJ Cann,26.062,RG,JAX,2017-12-24,Sun,2017,16,15.0,Away,SFO,L 33-44,0.0,,,,
AJ Cann,26.069,RG,JAX,2017-12-31,Sun,2017,17,16.0,Away,TEN,L 10-15,0.0,,,,
AJ Derby,,,DEN,2017-11-19,Sun,2017,11,10.0,Home,CIN,L 17-20,,,,Out,Shoulder
AJ Derby,26.095,TE,MIA,2017-12-24,Sun,2017,16,15.0,Away,KAN,L 13-29,1.6,28.0,0.5,,
AJ Derby,26.102,TE,MIA,2017-12-31,Sun,2017,17,16.0,Home,BUF,L 16-22,1.4,23.0,0.32,,
AJ Klein,,,NOR,2017-11-19,Sun,2017,11,10.0,Home,WAS,W 34-31,,,,Questionable,Ankle
AJ Klein,26.119,LB,NOR,2017-11-26,Sun,2017,12,11.0,Away,LAR,L 20-26,11.75,77.0,77.0,,
AJ Klein,26.126,LB,NOR,2017-12-03,Sun,2017,13,12.0,Home,CAR,W 31-21,12.0,57.0,57.0,,
AJ Klein,26.13,LB,NOR,2017-12-07,Thu,2017,14,13.0,Away,ATL,L 17-20,0.0,7.0,7.0,,
AJ Klein,,,NOR,2017-12-17,Sun,2017,15,14.0,Home,NYJ,W 31-19,,,,Injured Reserve,Groin
AJ Klein,,,NOR,2017-12-24,Sun,2017,16,15.0,Home,ATL,W 23-13,,,,Injured Reserve,Groin
AJ Klein,,,NOR,2017-12-31,Sun,2017,17,16.0,Away,TAM,L 24-31,,,,Injured Reserve,Groin
AQ Shipley,31.181,C,ARI,2017-11-19,Sun,2017,11,10.0,Away,HOU,L 21-31,0.0,,,Questionable,Shoulder
AQ Shipley,31.188,C,ARI,2017-11-26,Sun,2017,12,11.0,Home,JAX,W 27-24,0.0,,,,
AQ Shipley,31.195,C,ARI,2017-12-03,Sun,2017,13,12.0,Home,LAR,L 16-32,0.0,,,,
AQ Shipley,31.202,C,ARI,2017-12-10,Sun,2017,14,13.0,Home,TEN,W 12-7,0.0,,,,
AQ Shipley,31.209,C,ARI,2017-12-17,Sun,2017,15,14.0,Away,WAS,L 15-20,0.0,,,,
AQ Shipley,31.216,C,ARI,2017-12-24,Sun,2017,16,15.0,Home,NYG,W 23-0,0.0,,,,
AQ Shipley,31.223,C,ARI,2017-12-31,Sun,2017,17,16.0,Away,SEA,W 26-24,0.0,,,,
Aaron Brewer,,,ARI,2017-10-15,Sun,2017,6,6.0,Home,TAM,W 38-33,,,,Injured Reserve,Hand
Aaron Brewer,,,ARI,2017-10-22,Sun,2017,7,7.0,Away,LAR,L 0-33,,,,Injured Reserve,Hand
Aaron Brewer,,,ARI,2017-11-05,Sun,2017,9,8.0,Away,SFO,W 20-10,,,,Injured Reserve,Hand
Aaron Brewer,,,ARI,2017-11-09,Thu,2017,10,9.0,Home,SEA,L 16-22,,,,Injured Reserve,Hand
Aaron Brewer,,,ARI,2017-11-19,Sun,2017,11,10.0,Away,HOU,L 21-31,,,,Injured Reserve,Hand
Aaron Brewer,,,ARI,2017-11-26,Sun,2017,12,11.0,Home,JAX,W 27-24,,,,Injured Reserve,Hand
Aaron Brewer,,,ARI,2017-12-03,Sun,2017,13,12.0,Home,LAR,L 16-32,,,,Injured Reserve,Hand
Aaron Brewer,,,ARI,2017-12-10,Sun,2017,14,13.0,Home,TEN,W 12-7,,,,Injured Reserve,Hand
Aaron Brewer,27.165,LS,ARI,2017-12-17,Sun,2017,15,14.0,Away,WAS,L 15-20,0.0,,,,
Aaron Brewer,27.172,LS,ARI,2017-12-24,Sun,2017,16,15.0,Home,NYG,W 23-0,0.0,,,,
