Player,Age,Pos,Team,Date,Day,Season,Week,G#,Away_Home,Opp,Result,Fntsy_Pts,Snaps,Snap %,Status,Injury
A'Shawn Robinson,,,LAR,2020-09-13,Sun,2020,1,1.0,Home,DAL,W 20-17,,,,Injured Reserve,
A'Shawn Robinson,,,LAR,2020-09-20,Sun,2020,2,2.0,Away,PHI,W 37-19,,,,Injured Reserve,
A'Shawn Robinson,,,LAR,2020-09-27,Sun,2020,3,3.0,Away,BUF,L 32-35,,,,Injured Reserve,
A'Shawn Robinson,,,LAR,2020-10-04,Sun,2020,4,4.0,Home,NYG,W 17-9,,,,Injured Reserve,
A'Shawn Robinson,,,LAR,2020-10-11,Sun,2020,5,5.0,Away,WAS,W 30-10,,,,Injured Reserve,
A'Shawn Robinson,,,LAR,2020-10-18,Sun,2020,6,6.0,Away,SFO,L 16-24,,,,Injured Reserve,
A'Shawn Robinson,,,LAR,2020-10-26,Mon,2020,7,7.0,Home,CHI,W 24-10,,,,Injured Reserve,
A'Shawn Robinson,,,LAR,2020-11-01,Sun,2020,8,8.0,Away,MIA,L 17-28,,,,Injured Reserve,
A'Shawn Robinson,25.239,DT,LAR,2020-11-15,Sun,2020,10,9.0,Home,SEA,W 23-16,3.0,10.0,0.15,,
A'Shawn Robinson,25.247,DT,LAR,2020-11-23,Mon,2020,11,10.0,Away,TAM,W 27-24,0.75,15.0,0.22,,
A'Shawn Robinson,25.253,DT,LAR,2020-11-29,Sun,2020,12,11.0,Home,SFO,L 20-23,0.75,22.0,0.31,,
A'Shawn Robinson,25.26,DT,LAR,2020-12-06,Sun,2020,13,12.0,Away,ARI,W 38-28,3.0,12.0,0.19,,
A'Shawn Robinson,25.264,DT,LAR,2020-12-10,Thu,2020,14,13.0,Home,NWE,W 24-3,0.75,15.0,0.25,,
A'Shawn Robinson,25.274,DT,LAR,2020-12-20,Sun,2020,15,14.0,Home,NYJ,L 20-23,3.75,12.0,0.18,,
A'Shawn Robinson,25.281,DT,LAR,2020-12-27,Sun,2020,16,15.0,Away,SEA,L 9-20,1.5,10.0,0.16,,
A'Shawn Robinson,25.288,DL,LAR,2021-01-03,Sun,2020,17,16.0,Home,ARI,W 18-7,1.5,,,,
