Player,Team,Season,Date,Status,Opp,Injury,Week
Justin Bethel,ARI,2016,2016-09-11,Questionable,NWE,foot,1
Elie Bouka,ARI,2016,2016-09-11,Injured Reserve,NWE,Hamstring,1
Durell Eskridge,ARI,2016,2016-09-11,Injured Reserve,NWE,Arm,1
Mike Jenkins,ARI,2016,2016-09-11,Injured Reserve,NWE,Knee,1
Kareem Martin,ARI,2016,2016-09-11,Out,NWE,knee,1
Sio Moore,ARI,2016,2016-09-11,Questionable,NWE,hamstring,1
Tristan Okpalaugo,ARI,2016,2016-09-11,Injured Reserve,NWE,Hamstring,1
Stepfan Taylor,ARI,2016,2016-09-11,Questionable,NWE,knee,1
Elie Bouka,ARI,2016,2016-09-18,Injured Reserve,TAM,Hamstring,2
Durell Eskridge,ARI,2016,2016-09-18,Injured Reserve,TAM,Arm,2
Mike Jenkins,ARI,2016,2016-09-18,Injured Reserve,TAM,Knee,2
Lamar Louis,ARI,2016,2016-09-18,Injured Reserve,TAM,Knee,2
Kareem Martin,ARI,2016,2016-09-18,Out,TAM,knee,2
Evan Mathis,ARI,2016,2016-09-18,Questionable,TAM,foot,2
JJ Nelson,ARI,2016,2016-09-18,Questionable,TAM,shoulder,2
Robert Nkemdiche,ARI,2016,2016-09-18,Questionable,TAM,ankle,2
Tristan Okpalaugo,ARI,2016,2016-09-18,Injured Reserve,TAM,Hamstring,2
Frostee Rucker,ARI,2016,2016-09-18,Out,TAM,knee,2
Stepfan Taylor,ARI,2016,2016-09-18,Questionable,TAM,knee,2
Justin Bethel,ARI,2016,2016-09-25,Questionable,BUF,foot,3
Elie Bouka,ARI,2016,2016-09-25,Injured Reserve,BUF,Hamstring,3
Durell Eskridge,ARI,2016,2016-09-25,Injured Reserve,BUF,Arm,3
Mike Jenkins,ARI,2016,2016-09-25,Injured Reserve,BUF,Knee,3
Lamar Louis,ARI,2016,2016-09-25,Injured Reserve,BUF,Knee,3
Kareem Martin,ARI,2016,2016-09-25,Doubtful,BUF,knee,3
Evan Mathis,ARI,2016,2016-09-25,Out,BUF,"foot, toe",3
Robert Nkemdiche,ARI,2016,2016-09-25,Questionable,BUF,ankle,3
Tristan Okpalaugo,ARI,2016,2016-09-25,Injured Reserve,BUF,Hamstring,3
Frostee Rucker,ARI,2016,2016-09-25,Doubtful,BUF,knee,3
Justin Bethel,ARI,2016,2016-10-02,Questionable,LAR,foot,4
Elie Bouka,ARI,2016,2016-10-02,Injured Reserve,LAR,Hamstring,4
Tyvon Branch,ARI,2016,2016-10-02,Questionable,LAR,groin,4
Drew Butler,ARI,2016,2016-10-02,Out,LAR, calf,4
Durell Eskridge,ARI,2016,2016-10-02,Injured Reserve,LAR,Arm,4
Alani Fua,ARI,2016,2016-10-02,Injured Reserve,LAR,Knee,4
Mike Jenkins,ARI,2016,2016-10-02,Injured Reserve,LAR,Knee,4
Chris Johnson,ARI,2016,2016-10-02,day-to-day,LAR,groin,4
Lamar Louis,ARI,2016,2016-10-02,Injured Reserve,LAR,Knee,4
Kareem Martin,ARI,2016,2016-10-02,Questionable,LAR,knee,4
Troy Niklas,ARI,2016,2016-10-02,Injured Reserve,LAR,Wrist,4
Tristan Okpalaugo,ARI,2016,2016-10-02,Injured Reserve,LAR,Hamstring,4
Carson Palmer,ARI,2016,2016-10-02,day-to-day,LAR,concussion,4
Frostee Rucker,ARI,2016,2016-10-02,Out,LAR,knee,4
Justin Bethel,ARI,2016,2016-10-06,Questionable,SFO,,5
Elie Bouka,ARI,2016,2016-10-06,Injured Reserve,SFO,Hamstring,5
Durell Eskridge,ARI,2016,2016-10-06,Injured Reserve,SFO,Arm,5
Alani Fua,ARI,2016,2016-10-06,Injured Reserve,SFO,Knee,5
Mike Jenkins,ARI,2016,2016-10-06,Injured Reserve,SFO,Knee,5
Chris Johnson,ARI,2016,2016-10-06,Injured Reserve,SFO,Groin,5
Lamar Louis,ARI,2016,2016-10-06,Injured Reserve,SFO,Knee,5
Josh Mauro,ARI,2016,2016-10-06,Questionable,SFO,,5
Troy Niklas,ARI,2016,2016-10-06,Injured Reserve,SFO,Wrist,5
Tristan Okpalaugo,ARI,2016,2016-10-06,Injured Reserve,SFO,Hamstring,5
Carson Palmer,ARI,2016,2016-10-06,Out,SFO,,5
Frostee Rucker,ARI,2016,2016-10-06,Questionable,SFO,,5
Ed Stinson,ARI,2016,2016-10-06,Out,SFO,,5
Elie Bouka,ARI,2016,2016-10-17,Injured Reserve,NYJ,Hamstring,6
Tyvon Branch,ARI,2016,2016-10-17,Injured Reserve,NYJ,Groin,6
Durell Eskridge,ARI,2016,2016-10-17,Injured Reserve,NYJ,Arm,6
Alani Fua,ARI,2016,2016-10-17,Injured Reserve,NYJ,Knee,6
Mike Iupati,ARI,2016,2016-10-17,Doubtful,NYJ,ankle,6
Mike Jenkins,ARI,2016,2016-10-17,Injured Reserve,NYJ,Knee,6
