Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,TD,XPA,XPM,Att,Md,Sfty,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,TO,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Rush,Pass,Tot,TO,KR,PR,IR,FR,OR,RetTD,Q1,Q2,Q3,Q1,Q2,Q3,Q4,1stHalf,2ndHalf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,2020,2021-01-03,1:00,1:00,@,BUF,17,16,Sun,L 26-56,,8,8,8,0,0,0,24,38,63.2,377,4,2,1,11,109.2,25,78,3.12,2,455,2,24,4,19,1,10,4,40.0%,0,0,,-8,7,-1,-2,0,0,0,0,0,0,3,-22,-22,3,-25,0,-8,-22,-8
DET,2020,2020-12-26,1:00,1:00,,TAM,16,15,Sat,L 7-47,,7,7,5,1,0,0,31,42,73.8,477,6,0,2,14,150.5,26,111,4.27,1,588,,30,5,22,3,10,4,40.0%,2,1,50.0%,-38,-364,-402,-2,0,1,0,0,0,1,-13,-34,-40,-13,-21,-6,0,-34,-6
MIN,2020,2020-12-25,4:30,3:30,@,NOR,16,15,Fri,L 33-52,,7,7,7,1,1,0,21,28,75.0,319,0,2,0,0,82.3,45,264,5.87,7,583,2,36,21,14,1,9,5,55.6%,1,1,100.0%,-174,-45,-219,2,0,0,0,0,0,0,-7,-10,-4,-7,-3,6,-15,-10,-9
BUF,2020,2020-10-13,7:00,6:00,@,TEN,5,5,Tue,L 16-42,,6,6,6,0,0,0,21,28,75.0,195,3,0,0,0,129.3,34,139,4.09,3,334,,25,9,14,2,10,6,60.0%,1,1,100.0%,-44,80,36,-3,0,0,0,0,0,0,0,-11,-18,0,-11,-7,-8,-11,-15
CHI,2020,2020-11-29,8:20,7:20,@,GNB,12,11,Sun,L 25-41,,6,6,5,0,0,0,21,29,72.4,211,4,0,0,0,132.3,39,182,4.67,1,393,,28,14,13,1,11,6,54.5%,3,3,100.0%,-61,18,-43,-3,0,0,0,0,0,0,-3,-17,-31,-3,-14,-14,15,-17,1
CLE,2020,2020-12-14,8:15,8:15,,BAL,14,13,Mon,L 42-47,,6,5,4,1,1,1,12,21,57.1,154,1,0,4,22,96.1,32,231,7.22,5,385,,25,13,9,3,11,6,54.5%,1,1,100.0%,-93,201,108,-1,0,0,0,0,0,0,0,-7,-14,0,-7,-7,9,-7,2
IND,2020,2020-11-29,1:00,1:00,,TEN,12,11,Sun,L 26-45,,6,6,6,1,1,0,13,22,59.1,220,1,0,1,1,108.1,45,229,5.09,4,449,,28,16,9,3,12,5,41.7%,1,1,100.0%,-173,60,-113,-1,0,0,0,0,0,0,-7,-21,-24,-7,-14,-3,5,-21,2
DAL,2020,2020-10-04,1:00,12:00,,CLE,4,4,Sun,L 38-49,,6,5,5,2,2,0,20,31,64.5,201,3,0,2,1,115.1,40,307,7.68,3,508,,33,16,14,3,11,5,45.5%,0,0,,-222,280,58,-3,0,0,0,0,0,0,7,-17,-27,7,-24,-10,16,-17,6
DEN,2020,2020-12-19,4:30,2:30,,BUF,15,14,Sat,L 19-48,,6,6,6,2,2,0,28,40,70.0,352,2,0,1,7,113.7,24,182,7.58,3,534,1,29,6,19,4,13,9,69.2%,1,0,0.0%,-42,-237,-279,0,0,0,0,0,0,0,-7,-8,-25,-7,-1,-17,-4,-8,-21
DET,2020,2020-11-01,1:00,1:00,,IND,8,7,Sun,L 21-41,,6,5,3,0,0,0,23,34,67.6,247,3,0,2,15,118.1,39,119,3.05,2,366,,26,9,15,2,14,7,50.0%,1,1,100.0%,-90,50,-40,-2,0,0,0,0,0,0,7,-13,-6,7,-20,7,-14,-13,-7
DET,2020,2020-12-20,1:00,12:00,@,TEN,15,14,Sun,L 25-46,,6,5,5,1,1,0,21,27,77.8,268,3,0,1,5,145.1,38,195,5.13,3,463,,28,10,17,1,11,9,81.8%,0,0,,-72,39,-33,-3,0,0,0,0,0,0,-7,-9,-6,-7,-2,3,-15,-9,-12
HOU,2020,2020-10-18,1:00,12:00,@,TEN,6,6,Sun,L 36-42,OT,6,4,4,2,0,0,30,41,73.2,344,4,1,2,22,120.4,27,263,9.74,2,607,2,31,9,20,2,10,6,60.0%,0,0,,-171,-24,-195,2,0,0,0,0,0,0,-14,-11,2,-14,3,13,-2,-11,11
