Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,TD,XPA,XPM,Att,Md,Sfty,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,TO,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Rush,Pass,Tot,TO,KR,PR,IR,FR,OR,RetTD,Q1,Q2,Q3,Q1,Q2,Q3,Q4,1stHalf,2ndHalf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,2018,2018-11-08,8:20,8:20,@,PIT,10,9,Thu,L 21-52,,7,7,7,1,1,0,23,27,85.2,319,5,0,1,6,155.5,30,138,4.60,1,457,,25,10,14,1,11,8,72.7%,0,0,,-43,-172,-215,-2,0,0,0,0,0,0,-14,-17,-31,-14,-3,-14,0,-17,-14
KAN,2018,2018-11-19,8:15,7:15,@,LAR,11,11,Mon,L 51-54,,7,7,6,2,2,0,31,49,63.3,379,4,0,5,34,114.2,21,76,3.62,1,455,2,29,4,21,4,14,5,35.7%,1,1,100.0%,22,69,91,-3,0,0,0,1,0,1,-6,0,-10,-6,6,-10,7,0,-3
LAR,2018,2018-11-19,8:15,7:15,,KAN,11,11,Mon,W 54-51,,7,7,6,1,1,0,33,46,71.7,448,6,3,3,30,114.9,20,98,4.90,0,546,5,27,2,21,4,10,5,50.0%,1,1,100.0%,-22,-69,-91,3,0,0,1,1,0,2,6,0,10,6,-6,10,-7,0,3
ATL,2018,2018-10-07,1:00,1:00,@,PIT,5,5,Sun,L 17-41,,6,6,5,0,0,0,19,29,65.5,250,3,1,0,0,112.7,29,131,4.52,2,381,1,22,9,11,2,12,9,75.0%,0,0,,-69,12,-57,0,0,0,0,0,0,0,-13,-3,-17,-13,10,-14,-7,-3,-21
BUF,2018,2018-09-09,1:00,1:00,@,BAL,1,1,Sun,L 3-47,,6,5,5,2,2,0,26,38,68.4,252,3,0,2,8,113.0,34,117,3.44,3,369,1,26,11,13,2,14,6,42.9%,0,0,,-34,-182,-216,-1,0,0,0,0,0,0,-14,-26,-37,-14,-12,-11,-7,-26,-18
CIN,2018,2018-10-21,8:20,12:00,@,KAN,7,7,Sun,L 10-45,,6,6,6,2,1,0,28,39,71.8,353,4,1,2,5,123.1,29,198,6.83,1,551,1,33,12,19,2,12,9,75.0%,1,0,0.0%,-133,-179,-312,0,0,0,0,0,0,0,-7,-17,-28,-7,-10,-11,-7,-17,-18
CIN,2018,2018-11-11,1:00,1:00,,NOR,10,9,Sun,L 14-51,,6,6,6,3,3,0,22,27,81.5,265,3,0,0,0,144.6,47,244,5.19,3,509,,33,18,13,2,12,7,58.3%,1,1,100.0%,-134,-91,-225,-2,0,0,0,0,0,0,0,-28,-38,0,-28,-10,1,-28,-9
ARI,2018,2018-10-18,8:20,6:20,,DEN,7,7,Thu,L 10-45,,6,6,6,1,1,0,15,22,68.2,178,2,1,2,11,104.0,31,131,4.23,2,309,1,15,6,8,1,13,5,38.5%,0,0,,-62,-24,-86,-4,0,0,0,0,0,0,-18,-32,-32,-18,-14,0,-3,-32,-3
ARI,2018,2018-11-25,4:05,1:05,@,LAC,12,11,Sun,L 10-45,,6,6,6,1,1,0,28,32,87.5,236,3,0,4,23,128.6,30,178,5.93,3,414,1,30,11,17,2,7,3,42.9%,1,1,100.0%,-116,-149,-265,0,0,0,0,0,0,0,10,-18,-32,10,-28,-14,-3,-18,-17
