Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara ,RB,25.153,2020-12-25,NFL,NOR,,MIN,W 52-33,15,16,Fri,0,0,,0,0,0,,0,0,,,22,155,7.05,6,5,3,17,5.67,0,60.0%,3.40,,,,,,,,,6,36,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Claypool ,WR,22.096,2020-10-11,NFL,PIT,,PHI,W 38-29,4,5,Sun,0,0,,0,0,0,,0,0,,,3,6,2.00,1,11,7,110,15.71,3,63.6%,10.00,,,,,,,,,4,24,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalvin Cook,RB,25.083,2020-11-01,NFL,MIN,@,GNB,W 28-22,7,8,Sun,0,0,,0,0,0,,0,0,,,30,163,5.43,3,3,2,63,31.50,1,66.7%,21.00,,,,,,,,,4,24,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,28.003,2020-12-27,NFL,GNB,,TEN,W 40-14,15,16,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,12,11,142,12.91,3,91.7%,11.83,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,27.313,2020-11-01,NFL,GNB,,MIN,L 22-28,7,8,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,11,7,53,7.57,3,63.6%,4.82,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odell Beckham Jr.,WR,27.334,2020-10-04,NFL,CLE,@,DAL,W 49-38,4,4,Sun,0,0,,0,0,0,,0,0,,,2,73,36.50,1,8,5,81,16.20,2,62.5%,10.13,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rex Burkhead ,RB,30.087,2020-09-27,NFL,NWE,,LVR,W 36-20,3,3,Sun,0,0,,0,0,0,,0,0,,,6,49,8.17,2,10,7,49,7.00,1,70.0%,4.90,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefon Diggs,WR,27.029,2020-12-28,NFL,BUF,@,NWE,W 38-9,15,16,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,11,9,145,16.11,3,81.8%,13.18,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Gibson ,RB,22.156,2020-11-26,NFL,WAS,@,DAL,W 41-16,11,12,Thu,0,0,,0,0,0,,0,0,,,20,115,5.75,3,7,5,21,4.20,0,71.4%,3.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Henry ,RB,26.330,2020-11-29,NFL,TEN,@,IND,W 45-26,11,12,Sun,0,0,,0,0,0,,0,0,,,27,178,6.59,3,4,2,7,3.50,0,50.0%,1.75,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Higbee,TE,27.263,2020-09-20,NFL,LAR,@,PHI,W 37-19,2,2,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,54,10.80,3,100.0%,10.80,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyreek Hill,WR,26.273,2020-11-29,NFL,KAN,@,TAM,W 27-24,11,12,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,15,13,269,20.69,3,86.7%,17.93,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Jacobs,RB,22.215,2020-09-13,NFL,LVR,@,CAR,W 34-30,1,1,Sun,0,0,,0,0,0,,0,0,,,25,93,3.72,3,6,4,46,11.50,0,66.7%,7.67,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Jones,RB,25.293,2020-09-20,NFL,GNB,,DET,W 42-21,2,2,Sun,0,0,,0,0,0,,0,0,,,18,168,9.33,2,8,4,68,17.00,1,50.0%,8.50,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin Kamara ,RB,25.113,2020-11-15,NFL,NOR,,SFO,W 27-13,9,10,Sun,0,0,,0,0,0,,0,0,,,8,15,1.88,2,8,7,83,11.86,1,87.5%,10.38,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Lockett,WR,28.027,2020-10-25,NFL,SEA,@,ARI,L 34-37,6,7,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,20,15,200,13.33,3,75.0%,10.00,,,,,,,,,3,18,1,9,9.00,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Lockett,WR,27.365,2020-09-27,NFL,SEA,,DAL,W 38-31,3,3,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,13,9,100,11.11,3,69.2%,7.69,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah McKenzie,WR,25.269,2021-01-03,NFL,BUF,,MIA,W 56-26,16,17,Sun,0,0,,0,0,0,,0,0,,,2,0,0.00,0,9,6,65,10.83,2,66.7%,7.22,,,,,,,,,3,18,2,32,16.00,0,1,84,84.00,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Mixon,HB,24.072,2020-10-04,NFL,CIN,,JAX,W 33-25,4,4,Sun,0,0,,0,0,0,,0,0,,,25,151,6.04,2,6,6,30,5.00,1,100.0%,5.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dak Prescott ,QB,27.053,2020-09-20,NFL,DAL,,ATL,W 40-39,2,2,Sun,34,47,72.34,450,1,0,109.4,1,5,9.57,10.00,5,18,3.60,3,0,0,0,,0,0.0%,,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Tonyan ,TE,26.158,2020-10-05,NFL,GNB,,ATL,W 30-16,4,4,Mon,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,98,16.33,3,100.0%,16.33,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Wilson,RB,24.344,2020-10-25,NFL,SFO,@,NWE,W 33-6,7,7,Sun,0,0,,0,0,0,,0,0,,,17,112,6.59,3,2,2,8,4.00,0,100.0%,4.00,,,,,,,,,3,18,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,27.264,2020-09-13,NFL,GNB,@,MIN,W 43-34,1,1,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,17,14,156,11.14,2,82.4%,9.18,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,27.348,2020-12-06,NFL,GNB,,PHI,W 30-16,12,13,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,12,10,121,12.10,2,83.3%,10.08,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davante Adams,WR,27.306,2020-10-25,NFL,GNB,@,HOU,W 35-20,6,7,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,16,13,196,15.08,2,81.3%,12.25,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Allen ,QB,24.212,2020-12-19,NFL,BUF,@,DEN,W 48-19,14,15,Sat,28,40,70.00,359,2,0,114.5,1,7,8.98,9.98,3,33,11.00,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Mark Andrews,TE,25.007,2020-09-13,NFL,BAL,,CLE,W 38-6,1,1,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,5,58,11.60,2,83.3%,9.67,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Andrews,TE,25.028,2020-10-04,NFL,BAL,@,WAS,W 31-17,4,4,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,57,19.00,2,100.0%,19.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Arnold,TE,25.266,2020-12-06,NFL,ARI,,LAR,L 28-38,12,13,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,3,2,61,30.50,2,66.7%,20.33,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peyton Barber,RB,26.078,2020-09-13,NFL,WAS,,PHI,W 27-17,1,1,Sun,0,0,,0,0,0,,0,0,,,17,29,1.71,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovani Bernard,HB,28.345,2020-11-01,NFL,CIN,,TEN,W 31-20,8,8,Sun,0,0,,0,0,0,,0,0,,,15,62,4.13,1,4,3,16,5.33,1,75.0%,4.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovani Bernard,HB,29.029,2020-12-21,NFL,CIN,,PIT,W 27-17,14,15,Mon,0,0,,0,0,0,,0,0,,,25,83,3.32,1,1,1,14,14.00,1,100.0%,14.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devontae Booker,RB,28.172,2020-11-15,NFL,LVR,,DEN,W 37-12,9,10,Sun,0,0,,0,0,0,,0,0,,,16,81,5.06,2,1,1,2,2.00,0,100.0%,2.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,QB,27.354,2020-11-29,NFL,IND,,TEN,L 26-45,11,12,Sun,0,2,0.00,0,0,0,39.6,1,9,0.00,0.00,4,3,0.75,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Brown,WR,23.110,2020-10-18,NFL,TEN,,HOU,W 42-36,5,6,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,7,5,58,11.60,2,71.4%,8.29,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Brown,WR,23.152,2020-11-29,NFL,TEN,@,IND,W 45-26,11,12,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,6,4,98,24.50,1,66.7%,16.33,,,,,,,,,2,12,1,42,42.00,1,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Brown ,WR,32.177,2021-01-03,NFL,TAM,,ATL,W 44-27,16,17,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,14,11,138,12.55,2,78.6%,9.86,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Brown ,RB,27.184,2020-11-15,NFL,LAR,,SEA,W 23-16,9,10,Sun,0,0,,0,0,0,,0,0,,,6,33,5.50,2,2,2,18,9.00,0,100.0%,9.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Brown ,RB,27.121,2020-09-13,NFL,LAR,,DAL,W 20-17,1,1,Sun,0,0,,0,0,0,,0,0,,,18,79,4.39,2,4,3,31,10.33,0,75.0%,7.75,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquise Brown ,WR,23.213,2021-01-03,NFL,BAL,@,CIN,W 38-3,16,17,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,8,5,41,8.20,2,62.5%,5.13,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Bryant,TE,22.185,2020-10-25,NFL,CLE,@,CIN,W 37-34,7,7,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,5,4,56,14.00,2,80.0%,11.20,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rex Burkhead ,RB,30.136,2020-11-15,NFL,NWE,,BAL,W 23-17,9,10,Sun,0,0,,0,0,0,,0,0,,,6,31,5.17,0,5,4,35,8.75,2,80.0%,7.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Burton,TE,28.355,2020-10-18,NFL,IND,,CIN,W 31-27,6,6,Sun,0,0,,0,0,0,,0,0,,,1,1,1.00,1,5,4,58,14.50,1,80.0%,11.60,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chris Carson,RB,25.363,2020-09-13,NFL,SEA,@,ATL,W 38-25,1,1,Sun,0,0,,0,0,0,,0,0,,,6,21,3.50,0,6,6,45,7.50,2,100.0%,7.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Carson,RB,26.018,2020-10-04,NFL,SEA,@,MIA,W 31-23,4,4,Sun,0,0,,0,0,0,,0,0,,,16,80,5.00,2,4,3,20,6.67,0,75.0%,5.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DJ Chark,WR,24.011,2020-10-04,NFL,JAX,@,CIN,L 25-33,4,4,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,9,8,95,11.88,2,88.9%,10.56,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Chinn ,S,22.277,2020-11-29,NFL,CAR,@,MIN,L 27-28,12,12,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,7,6,13,0,1,0,0,0,0,0,0,1,2,45,2
Nick Chubb,RB,24.275,2020-09-27,NFL,CLE,,WAS,W 34-20,3,3,Sun,0,0,,0,0,0,,0,0,,,19,108,5.68,2,1,1,2,2.00,0,100.0%,2.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Chubb,RB,24.265,2020-09-17,NFL,CLE,,CIN,W 35-30,2,2,Thu,0,0,,0,0,0,,0,0,,,22,124,5.64,2,1,1,9,9.00,0,100.0%,9.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Chubb,RB,24.353,2020-12-14,NFL,CLE,,BAL,L 42-47,13,14,Mon,0,0,,0,0,0,,0,0,,,17,82,4.82,2,2,2,21,10.50,0,100.0%,10.50,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Claypool ,WR,22.131,2020-11-15,NFL,PIT,,CIN,W 36-10,9,10,Sun,0,0,,0,0,0,,0,0,,,2,-3,-1.50,0,10,4,56,14.00,2,40.0%,5.60,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keelan Cole,WR,27.209,2020-11-15,NFL,JAX,@,GNB,L 20-24,9,10,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,7,5,47,9.40,1,71.4%,6.71,,,,,,,,,2,12,0,0,,0,3,113,37.67,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalvin Cook,RB,25.090,2020-11-08,NFL,MIN,,DET,W 34-20,8,9,Sun,0,0,,0,0,0,,0,0,,,22,206,9.36,2,2,2,46,23.00,0,100.0%,23.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalvin Cook,RB,25.055,2020-10-04,NFL,MIN,@,HOU,W 31-23,4,4,Sun,0,0,,0,0,0,,0,0,,,27,130,4.81,2,2,2,16,8.00,0,100.0%,8.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalvin Cook,RB,25.034,2020-09-13,NFL,MIN,,GNB,L 34-43,1,1,Sun,0,0,,0,0,0,,0,0,,,12,50,4.17,2,2,1,-2,-2.00,0,50.0%,-1.00,,,,,,,2,,2,16,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandin Cooks,WR,27.100,2021-01-03,NFL,HOU,,TEN,L 38-41,16,17,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,16,11,166,15.09,2,68.8%,10.38,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamison Crowder,WR,27.172,2020-12-06,NFL,NYJ,,LVR,L 28-31,12,13,Sun,0,0,,0,0,0,,0,0,,,0,0,,0,7,5,47,9.40,2,71.4%,6.71,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeeJay Dallas,RB,22.046,2020-11-01,NFL,SEA,,SFO,W 37-27,7,8,Sun,0,0,,0,0,0,,0,0,,,18,41,2.28,1,5,5,17,3.40,1,100.0%,3.40,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Davis ,RB,27.298,2020-12-13,NFL,CAR,,DEN,L 27-32,13,14,Sun,0,0,,0,0,0,,0,0,,,11,51,4.64,2,6,5,42,8.40,0,83.3%,7.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ Dillon,RB,22.239,2020-12-27,NFL,GNB,,TEN,W 40-14,15,16,Sun,0,0,,0,0,0,,0,0,,,21,124,5.90,2,1,1,5,5.00,0,100.0%,5.00,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins ,RB,21.271,2020-09-13,NFL,BAL,,CLE,W 38-6,1,1,Sun,0,0,,0,0,0,,0,0,,,7,22,3.14,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.K. Dobbins ,RB,22.017,2021-01-03,NFL,BAL,@,CIN,W 38-3,16,17,Sun,0,0,,0,0,0,,0,0,,,13,160,12.31,2,0,0,0,,0,0.0%,,,,,,,,,,2,12,0,0,,0,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
