,Player ,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA
0,Antoine Bethea,,,,,,,,,,,,,,,Questionable: Knee,Injured Reserve: Pectoral
1,Alex Boone ,,,,Out: Chest,Questionable: Chest,,,,,,,,,,,
2,Tyvon Branch,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
3,Aaron Brewer,,,,,,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,,,
4,John Brown,,Out: Quadricep,Out: Quadricep,Questionable: Quadricep,Questionable: Quadricep,,,,,Questionable: Back,Out: Toe,Out: Toe,Out: Toe,Out: Toe,Questionable: Toe,
5,Deone Bucannon,Out: Ankle,Doubtful: Ankle,Questionable: Ankle,,,,,,,,,Out: Ankle,,,,
6,Josh Bynes,,,,,,,,,,,,,,,Out: Ankle,Questionable: Ankle
7,Karlos Dansby,,,,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Finger,,,,,,,Questionable: Knee,
8,Aaron Dobson,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
9,Andre Ellington,,,,,,,Questionable: Quadricep,Questionable: Quadricep,,,,,,,,
10,Rudy Ford,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
11,Alani Fua,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
12,Brittan Golden,,,,,,,,Questionable: Groin,Questionable: Groin,,Questionable: Groin,,,,Injured Reserve: Arm,Injured Reserve: Arm
13,Markus Golden,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
14,Jermaine Gresham,,Questionable: Ribs,Questionable: Ribs,,,,,,,,,,,Questionable: Illness,,
15,D.J. Humphries,,Out: Knee,Out: Knee,Questionable: Knee,Out: Knee,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
16,Mike Iupati,Questionable: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep
17,David Johnson,,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist
18,Jarvis Jones,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep,Injured Reserve: Quadricep
19,T.J. Logan,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist,Injured Reserve: Wrist
20,Gabe Martin ,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,,,Out: Hamstring,Questionable: Hamstring,
21,Josh Mauro,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,
22,Ifeanyi Momah,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
23,Daniel Munyer,,,,,,,,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe
24,JJ Nelson,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,Questionable: Knee,,,
25,Troy Niklas,,Questionable: Hip,,,,,,,,,,Questionable: Back,,,Out: Ankle,Questionable: Ankle
26,Robert Nkemdiche,Questionable: Calf,Questionable: Calf,,Out: Calf,Out: Calf,Questionable: Calf,Questionable: Calf,,,,,,,,,
27,Carson Palmer,,,,,,,,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm,Injured Reserve: Arm
28,Elijhaa Penny,,,,,,,,,,,Questionable: Knee,,,,,Questionable: Hand
29,Corey Peters,,,,,,Questionable: Knee,,,,Out: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,Questionable: Ankle,,
30,Adrian Peterson,,,,,,,,,,,,Injured Reserve: Neck,Injured Reserve: Neck,Out: Neck,Injured Reserve: Neck,Injured Reserve: Neck
31,Patrick Peterson,,,,,,Questionable: Quadricep,,,,,,,Questionable: Hamstring,,,
32,Olsen Pierre,,,,,,Out: Ankle,Questionable: Ankle,,,,,,,,Questionable: Illness,
33,Frostee Rucker,,,,,,,,Questionable: Knee,,,,,,,,
34,A.Q. Shipley,,,,,,,,,,Questionable: Shoulder,,,,,,
35,Drew Stanton,,,,,,,,,,Questionable: Knee,Questionable: Knee,,,,,
36,Jared Veldheer,,,,,,Questionable: Knee,,,,,,,Questionable: Elbow,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
37,Earl Watford,,,,,,,,,,,,,,Out: Ankle,Out: Ankle,Questionable: Ankle
38,John Wetzel,,,,,,,,,,Questionable: Back,,,,,,
39,Chad Williams,,,,,,,,Questionable: Back,Questionable: Back,,,,,,Questionable: Illness,
40,Kerwynn Williams,,,,,,,,,,,,,,,Questionable: Quadricep,Questionable: Quadricep
41,Xavier Williams,,,,,,,Questionable: Knee,,,,,,,,,
42,Ronald Zamort,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
,Player ,09/09vs. WAS,09/16vs. LAR,09/23vs. CHI,09/30vs. SEA,10/07vs. SFO,10/14vs. MIN,10/18vs. DEN,10/28vs. SFO,11/11vs. KAN,11/18vs. OAK,11/25vs. LAC,12/02vs. GNB,12/09vs. DET,12/16vs. ATL,12/23vs. LAR,12/30vs. SEA
0,Bryson Albright,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
1,Thurston Armbrister,,,,,,,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
2,Budda Baker ,,,,,,,,,Questionable: Foot,Out: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,,
3,Bene Benwikere,,,,,Questionable: Neck,,,,,,,,,,,
4,Tre Boston,,,,,,,Out: Shoulder,Out: Shoulder,Questionable: Chest,,,,,,,
5,Deone Bucannon,,,,,,,,,,,Out: Chest,Out: Chest,Out: Chest,Questionable: Chest,,
6,Josh Bynes,,,,,,,,,,,,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb,Injured Reserve: Thumb
7,Christian Campbell,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
8,Jeremy Cash,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
9,Korey Cunningham,,,,,,,,,,,,,,,,Injured Reserve: Foot
10,Phil Dawson,,,,,,,,Questionable: rightHip,,Questionable: rightHip,Questionable: rightHip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
11,Chase Edmonds,,,,,,Questionable: Back,,,,,,,,,,
12,Larry Fitzgerald,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,,
13,D.J. Foster ,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
14,Dennis Gardeck,,,Questionable: Ankle,,,,,,,,,,,,,
15,Markus Golden,Out: Knee,Questionable: Knee,Questionable: Knee,,Questionable: Knee,Questionable: Knee,,,,,,,,,Questionable: Ankle,Questionable: Ankle
16,Jermaine Gresham,Questionable: Achilles,Questionable: Achilles,Questionable: Achilles,,,,,Questionable: Heel,Questionable: Back,,,,,,,Injured Reserve: Achilles
17,Rodney Gunter,,,,,,,,,,Questionable: NotInjuryRelated,,,,,Questionable: Foot,
18,Will Holden,,,,,,,,,,,,,,,Questionable: Shoulder,
19,D.J. Humphries,,,,,,Questionable: Knee,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
20,Mike Iupati,,,,,,Questionable: Shoulder,Out: Back,Questionable: Back,Questionable: Back,Questionable: Back,Questionable: Back,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
21,Christian Kirk,,,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
22,T.J. Logan,Questionable: Ankle,,,,,,,,,,,,,,,
23,Gabe Martin ,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
