Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time
14,ARI,2018,11/25/2018,4:05,1:05,@,LAC,12,11,Sun,L 10-45,,149,45,3.3111,66,6.2727,1,24:42:00,2:45
25,ARI,2019,9/8/2019,4:25,2:25,,DET,1,1,Sun,T 27-27,OT,387,82,4.7195,80,5.9625,1,30:37:00,3:58
35,ARI,2017,12/17/2017,1:00,1:00,@,WAS,15,14,Sun,L 15-20,,286,80,3.575,47,4.6383,2,36:16:00,3:04
41,ARI,2017,10/1/2017,4:05,2:05,,SFO,4,4,Sun,W 18-15,OT,368,79,4.6582,79,3.8608,1,36:15:00,3:40
98,ARI,2017,9/25/2017,8:30,6:30,,DAL,3,3,Mon,L 17-28,,332,75,4.4267,45,6.0667,,36:15:00,3:16
6,ATL,2019,12/29/2019,1:00,1:00,@,TAM,17,16,Sun,W 28-22,OT,373,87,4.2874,46,7.1522,1,36:22:00,3:13
8,ATL,2019,11/28/2019,8:20,8:20,,NOR,13,12,Thu,L 18-26,,348,85,4.0941,49,5.6939,3,35:37:00,3:12
12,ATL,2017,10/1/2017,1:00,1:00,,BUF,4,4,Sun,L 17-23,,389,72,5.4028,59,4.7627,3,31:15:00,2:59
13,ATL,2017,12/31/2017,4:25,1:00,,CAR,17,16,Sun,W 22-10,,371,72,5.1528,60,4.1333,,34:42:00,3:09
7,ATL,2017,9/24/2017,1:00,1:00,@,DET,3,3,Sun,W 30-26,,428,65,6.5846,66,4.9091,3,32:35:00,3:22
8,ATL,2017,12/7/2017,8:25,8:25,,NOR,14,13,Thu,W 20-17,,343,65,5.2769,52,5.8846,3,34:41:00,3:00
9,ATL,2018,9/6/2018,8:20,8:20,@,PHI,1,1,Thu,L 12-18,,299,65,4.6,64,3.625,1,27:50:00,3:19
10,ATL,2018,12/16/2018,1:00,1:00,,ARI,15,14,Sun,W 40-14,,435,65,6.6923,65,3.8923,,30:40:00,3:07
10,ATL,2017,12/24/2017,1:00,12:00,@,NOR,16,15,Sun,L 13-23,,331,61,5.4262,60,5.25,2,26:12:00,3:05
11,ATL,2019,9/15/2019,8:20,8:20,,PHI,2,2,Sun,W 24-20,,367,61,6.0164,72,3.9722,3,27:06:00,3:16
12,ATL,2019,11/17/2019,1:00,1:00,@,CAR,11,10,Sun,W 29-3,,349,61,5.7213,70,4.9571,,31:26:00,3:04
13,ATL,2019,12/15/2019,4:25,1:25,@,SFO,15,14,Sun,W 29-22,,290,61,4.7541,62,5.0484,1,29:12:00,3:14
10,ATL,2017,9/17/2017,8:30,8:30,,GNB,2,2,Sun,W 34-23,,364,58,6.2759,68,5.3971,,28:37:00,3:10
11,ATL,2017,11/5/2017,1:00,1:00,@,CAR,9,8,Sun,L 17-20,,355,58,6.1207,63,5.2381,1,27:08:00,3:04
