,Player,Team,Year,09/11vs. MIN,09/17vs. NWE,09/24vs. CAR,10/01vs. MIA,10/15vs. DET,10/22vs. GNB,10/29vs. CHI,11/05vs. TAM,11/12vs. BUF,11/19vs. WAS,11/26vs. LAR,12/03vs. CAR,12/07vs. ATL,12/17vs. NYJ,12/24vs. ATL,12/31vs. TAM,01/07vs. CAR,01/14vs. MIN
0,Stephone Anthony,nor,2017,Questionable: Ankle,Questionable: Ankle,,,,,,,,,,,,,,,,
1,Alex Anzalone,nor,2017,,,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
2,Terron Armstead,nor,2017,Out: Shoulder,Out: Shoulder,Out: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,,,Questionable: Chest,,,Questionable: Thigh,Questionable: Thigh,,,Out: Thigh,Questionable: Thigh,
3,Dan Arnold,nor,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
4,Bryan Braman,nor,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,Injured Reserve: Undisclosed,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
5,Delvin Breaux,nor,2017,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg
6,Brandon Coleman,nor,2017,,,,,,,,,,,,,,,,,,Out: Neck
7,Ken Crawley,nor,2017,,,,,,,,,,,Out: Abdomen,,,,,,,
8,Jon Dorenbos,nor,2017,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart
9,Dannell Ellerbe,nor,2017,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,,Injured Reserve: Foot,Injured Reserve: Foot
10,Nick Fairley,nor,2017,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart,Injured Reserve: Heart
