,Player,Team,Year,09/09vs. HOU,09/15vs. LAR,09/22vs. SEA,09/29vs. DAL,10/06vs. TAM,10/13vs. JAX,10/20vs. CHI,10/27vs. ARI,11/10vs. ATL,11/17vs. TAM,11/24vs. CAR,11/28vs. ATL,12/08vs. SFO,12/16vs. IND,12/22vs. TEN,12/29vs. CAR,01/05vs. MIN
0,Kiko Alonso,nor,2019,,,,,,,,,,,,,Out: Thigh,Out: Knee,Out: Quadricep,,
1,Alex Anzalone,nor,2019,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
2,Eli Apple,nor,2019,,,,,,,,,,,,,,,,Out: Ankle,Out: Ankle
3,Terron Armstead,nor,2019,,,,,,,,,,,,Out: Ankle,Questionable: Ankle,,,,
4,Johnson Bademosi,nor,2019,,,,,,,,,,,,,,Out: Foot,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
5,Vonn Bell,nor,2019,,,,,,,,,,,,,,Out: Knee,Out: Knee,Out: Knee,
6,Drew Brees,nor,2019,,,Out: right Thumb,Out: right Thumb,Out: right Thumb,Out: right Thumb,Out: right Thumb,Questionable: right Thumb,,,,,,,,,
7,Austin Carr,nor,2019,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
8,Will Clapp,nor,2019,,,,Out: Hand,,,,,,,,Questionable: Back,Questionable: Elbow,,,,
9,William Compton,nor,2019,Injured Reserve: ,,,,,,,,,,,,,,,,
10,Jared Cook,nor,2019,,,,,,,Out: Ankle,Out: Ankle,,,,,,,,,
11,Marcus Davenport,nor,2019,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
12,Matthew Dayes,nor,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,,
13,Mario Edwards,nor,2019,Out: Hamstring,,,,,,,,,,,,,,,,
14,Kaden Elliss,nor,2019,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
15,Chauncey Gardner-Johnson,nor,2019,,,,,,,,,,,,,,,Questionable: Concussion,,
16,J.T. Gray,nor,2019,,,,,,,,Questionable: Ankle,,,,,,,,,
17,Garrett Griffin,nor,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
18,Saquan Hampton,nor,2019,,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
19,Chase Hansen,nor,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
20,Deonte Harris,nor,2019,,,,,,,,,,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,
21,Trey Hendrickson,nor,2019,,,,,Out: Neck,Out: Neck,Out: Neck,,,,,,,,,,
22,Krishawn Hogan,nor,2019,,,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: 
23,Colton Jumper,nor,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
24,Alvin Kamara,nor,2019,,,,,,Questionable: Ankle,Out: Ankle,Questionable: Ankle,,,,,,,,,
