,Player,Team,Year,09/09vs. JAX,09/16vs. DAL,09/23vs. HOU,09/30vs. NOR,10/07vs. CAR,10/11vs. PHI,10/22vs. ATL,10/28vs. WAS,11/12vs. SFO,11/18vs. TAM,11/25vs. PHI,12/02vs. CHI,12/09vs. WAS,12/16vs. TEN,12/23vs. IND,12/30vs. DAL
0,Eli Apple,nyg,2018,,,Out: Groin,Out: Groin,,,,,,,,,,,,
1,Thurston Armbrister,nyg,2018,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
2,Ray-Ray Armstrong ,nyg,2018,,,,,,,Injured Reserve: Concussion,,Injured Reserve: Concussion,Injured Reserve: Concussion,,,,Injured Reserve: Concussion,,
3,Sam Beal,nyg,2018,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
4,Odell Beckham Jr.,nyg,2018,,,,,,,,,,,,,,Out: Quadricep,Out: Quadricep,Out: Quadricep
5,Nick Becton,nyg,2018,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
6,Lorenzo Carter ,nyg,2018,,,,,,,,,,,,Questionable: Hip,,,,
7,Kaelin Clay,nyg,2018,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
8,Stacy Coley,nyg,2018,,,,Questionable: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
9,Landon Collins,nyg,2018,,,,,,,,,,,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
10,Jawill Davis,nyg,2018,,,,,,,Out: Concussion,Out: Concussion,,,,,,,,Injured Reserve: Knee
11,Mario Edwards,nyg,2018,,,,,,,,,,,,,,,,Out: Calf
12,Rhett Ellison,nyg,2018,,,,,,Questionable: Foot,,,,,,,,,,Out: Concussion
13,Evan Engram ,nyg,2018,,,,Out: Knee,Out: Knee,Out: Knee,,,,,,Out: Hamstring,,,,
