,Player,Team,Year,09/08vs. BUF,09/16vs. CLE,09/22vs. NWE,10/06vs. PHI,10/13vs. DAL,10/21vs. NWE,10/27vs. JAX,11/03vs. MIA,11/10vs. NYG,11/17vs. WAS,11/24vs. OAK,12/01vs. CIN,12/08vs. MIA,12/12vs. BAL,12/22vs. PIT,12/29vs. BUF
0,Jamal Adams ,nyj,2019,,,,,,,,,,,,,Doubtful: Ankle,Doubtful: Ankle,Questionable: Ankle,Questionable: Ankle
1,Henry Anderson,nyj,2019,,,,,Doubtful: Shoulder,Doubtful: Shoulder,Questionable: Shoulder,,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,Questionable: Knee
2,Robby Anderson,nyj,2019,Questionable: Calf,,,,,,,,,,,,,,Questionable: Illness,Questionable: Calf
3,Blessuan Austin,nyj,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,
4,Kelvin Beachum,nyj,2019,,Questionable: Ankle,Questionable: Ankle,,,Doubtful: Ankle,Out: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankles,Questionable: Ankles,Questionable: Ankles,Questionable: Ankles,Questionable: Back
5,Le'Veon Bell,nyj,2019,,Questionable: Shoulder,,,,,,,Questionable: Knee,Questionable: Illness,,,Out: Illness,,,
6,Josh Bellamy,nyj,2019,,,Questionable: Shoulder,Questionable: Shoulder,Questionable: Shoulder,,,Out: Foot,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
7,Braxton Berrios,nyj,2019,Questionable: Hamstring,Questionable: Hamstring,,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,
8,Daniel Brown,nyj,2019,,,,Questionable: Ankle,,,,,,,,,,,,
9,Kyron Brown,nyj,2019,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
10,Brandon Bryant,nyj,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
11,Maurice Canady,nyj,2019,,,,,,,,,,,,,Questionable: Illness,,,
12,Trenton Cannon,nyj,2019,,,Questionable: Ankle,,Doubtful: Foot,Doubtful: Foot,Out: Foot,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
13,Blake Cashman,nyj,2019,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
14,Tom Compton,nyj,2019,,,,,,,,,,,,,,,Doubtful: Calf,Injured Reserve: 
15,Brandon Copeland,nyj,2019,,,,,,,,,,Questionable: Hip,Questionable: Hip,,,,,
16,Sam Darnold ,nyj,2019,,Out: Illness,Out: Illness,Out: Illness,,,,,,,,,,,,
17,Kenneth Dixon,nyj,2019,,,,,,,,,,,,,,,,Questionable: Illness
18,Chuma Edoga,nyj,2019,,,,,,,,,,,Questionable: Ankle,Out: Knee,Doubtful: Knee,Out: Knee,Injured Reserve: ,Injured Reserve: 
19,Quincy Enunwa,nyj,2019,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
20,Matthias Farley,nyj,2019,,,,,,,,,,Out: Quadricep,Doubtful: Quadricep,Questionable: Quadricep,Doubtful: Ankle,Questionable: Ankle,,
21,John Franklin-Myers,nyj,2019,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
22,Ryan Griffin,nyj,2019,,,,,,,,,,,,,Questionable: Illness,Out: Ankle,Injured Reserve: ,Injured Reserve: 
23,Nate Hairston,nyj,2019,,,,,Questionable: Knee,Questionable: Knee,,,,,,,,,,
24,Chris Herndon,nyj,2019,,,,,,Doubtful: Hamstring,Doubtful: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
25,Neville Hewitt,nyj,2019,,,,,,Doubtful: Neck,Doubtful: Neck,Doubtful: Neck,Doubtful: Knee,Questionable: Neck,Questionable: Neck,,,,,
26,Jordan Jenkins,nyj,2019,,,Out: Calf,Out: Calf,Questionable: Calf,,,,Questionable: Calf,,,,,,,
27,Trumaine Johnson,nyj,2019,Questionable: Hamstring,,,,,,Questionable: Ankle,Out: Ankles,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
28,Ryan Kalil,nyj,2019,,,,,,Questionable: Shoulder,,Out: Knee,Doubtful: Knee,Out: Knee,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
