,Player,Team,Year,09/10vs. OAK,09/17vs. JAX,09/24vs. SEA,10/01vs. HOU,10/08vs. MIA,10/16vs. IND,10/22vs. CLE,11/05vs. BAL,11/12vs. CIN,11/16vs. PIT,11/26vs. IND,12/03vs. HOU,12/10vs. ARI,12/17vs. SFO,12/24vs. LAR,12/31vs. JAX,01/06vs. KAN,01/13vs. NWE
0,Daren Bates,oti,2017,,,,,,Questionable: Knee,,,,,,,,,,,,
1,Kourtnei Brown,oti,2017,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
2,Jurrell Casey,oti,2017,,,,Questionable: Groin,,,,,,,,,,,,,,
3,Johnathan Cyprien,oti,2017,,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,,,,,,,Questionable: Back,,,,
4,Corey Davis ,oti,2017,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,,,,,,,,,,,
5,Harry Douglas,oti,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,
6,DaQuan Jones,oti,2017,,,,,,,,,,,,,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep,Injured Reserve: Bicep
7,Marcus Mariota,oti,2017,,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,,,
8,Rishard Matthews,oti,2017,,,,,,,,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,,
9,Mekale McKay ,oti,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
10,Derrick Morgan,oti,2017,,,,,,,Questionable: Abdomen,,,,,,Out: Knee,Out: Knee,,,,
11,DeMarco Murray,oti,2017,,,Questionable: Hamstring,,,,Questionable: Hamstring,,,,,,,,,Out: Knee,Out: Knee,Out: Knee
12,Victor Ochi,oti,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
13,Nate Palmer,oti,2017,,,,,,,,Questionable: Ankle,,,,,,,,,,
14,Logan Ryan,oti,2017,,,,,,,,,,,,,,,Questionable: Ankle,Questionable: Ankle,,
15,Tajae Sharpe,oti,2017,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
16,LeShaun Sims,oti,2017,Out: Groin,,,,,,,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
17,Tye Smith,oti,2017,,Out: Hand,,,,,,,,,,,,,,,,
18,Quinton Spain,oti,2017,,,,,,,,Out: Toe,Out: Toe,,,,,,,,Questionable: Back,
19,Phillip Supernaw,oti,2017,,,,,,,,,,,,,,Questionable: Ankle,,,,
20,Alex Tanney,oti,2017,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
21,Brynden Trawick,oti,2017,,,,,,,,,Questionable: Neck,,,,,,,,,
22,Delanie Walker,oti,2017,,,,,,,Questionable: Calf,Questionable: Ankle,Questionable: Ankle,,,,,,,,,
23,Aaron Wallace,oti,2017,,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
