,Player,Team,Year,09/10vs. TEN,09/17vs. NYJ,09/24vs. WAS,10/01vs. DEN,10/08vs. BAL,10/15vs. LAC,10/19vs. KAN,10/29vs. BUF,11/05vs. MIA,11/19vs. NWE,11/26vs. DEN,12/03vs. NYG,12/10vs. KAN,12/17vs. DAL,12/25vs. PHI,12/31vs. LAC
0,Vadal Alexander,rai,2017,,,,,,,,,,,,,,,,Doubtful: Concussion
1,David Amerson,rai,2017,,,,,Questionable: Concussion,Questionable: Shoulder,,Out: Foot,Out: Foot,Doubtful: Foot,Out: Foot,Questionable: Foot,Questionable: Foot,Doubtful: Foot,Doubtful: Foot,Questionable: Foot
2,Denico Autry,rai,2017,,,,,,,,,,,,,Questionable: Hand,Questionable: Hand,Questionable: Hand,
3,Derek Carr,rai,2017,,,,,Questionable: Back,,,,,,,,,,,
4,Gareon Conley ,rai,2017,Injured Reserve: Shin,,,Questionable: Shin,Questionable: Shin,Out: Shin,Out: Shin,Out: Shin,Out: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin
5,Amari Cooper,rai,2017,,,,,,,,,,,,Out: Concussion,Questionable: Ankle,Out: Ankle,Questionable: Ankle,
6,Michael Crabtree,rai,2017,,,,Questionable: Chest,,,,,,,,,,,,
7,Mario Edwards,rai,2017,,,,,,,,,,,,,,Out: Ankle,Out: Ankle,
8,Jon Feliciano,rai,2017,,,,,,,,,,,,,Out: Concussion,Questionable: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
9,Antonio Hamilton,rai,2017,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,
10,Ben Heeney,rai,2017,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
11,Cooper Helfet ,rai,2017,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
12,Treyvon Hester,rai,2017,,,,,,,,,,,,,,,Out: Ankle,Out: Ankle
13,Johnny Holton,rai,2017,,,,,,,,,,,Questionable: Concussion,,,,,
14,Rodney Hudson,rai,2017,,,,,,,,,,,,,,,Questionable: Ankle,
15,Bruce Irvin,rai,2017,,,,,,,,,,,,,,,Questionable: Concussion,
16,Gabe Jackson,rai,2017,,,,,Questionable: Foot,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,,
17,Cory James,rai,2017,Questionable: Knee,,,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
18,Sebastian Janikowski,rai,2017,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
19,Jelani Jenkins,rai,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,,Injured Reserve: Undisclosed,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,,
20,Karl Joseph,rai,2017,,,,,,,,Doubtful: Groin,Questionable: Groin,,,,,,,
21,Marquette King,rai,2017,,,,,,,,Questionable: rightGroin,,,,,,,,
22,Denver Kirkland,rai,2017,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg
23,Marquel Lee,rai,2017,,,,,,Out: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,
24,Demetrius McCray,rai,2017,,,,,,,,,Out: Knee,,,,,,,
25,Dexter McDonald,rai,2017,,,,,,,,,,,,,,,Questionable: Knee,Questionable: Knee
26,Keith McGill,rai,2017,Out: Foot,Questionable: Foot,,Questionable: Foot,,,,,,,,,,Questionable: Knee,Questionable: Knee,
27,Obi Melifonwu,rai,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,,,,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
28,Nicholas Morrow,rai,2017,,,,,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,
29,Marshall Newhouse,rai,2017,,,,,,,Out: Foot,Questionable: Foot,,Questionable: Hip,,,,,,
30,Jamize Olawale ,rai,2017,Out: Quadricep,Questionable: Quadricep,,,,Out: Concussion,Questionable: Concussion,,Questionable: Hamstring,Questionable: Hamstring,,,Questionable: Ankle,,,
31,Cordarrelle Patterson,rai,2017,,,,,,,,,,,Questionable: Hip,Questionable: Hip,Questionable: Hip,,,
32,Donald Penn,rai,2017,,,,,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot
33,David Sharpe,rai,2017,,,,,,,,,,,,,,,,Questionable: Illness
34,Sean Smith,rai,2017,,Questionable: Neck,Questionable: Neck,,,,,,,,,,,,,
35,Clive Walford,rai,2017,,,,,,,,,,,,,,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
36,Jihad Ward,rai,2017,Injured Reserve: Foot,,Injured Reserve: Foot,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Doubtful: Foot,,,
37,DeAndre Washington,rai,2017,,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,,
