,Player,Team,Year,09/09vs. DEN,09/15vs. KAN,09/22vs. MIN,09/29vs. IND,10/06vs. CHI,10/20vs. GNB,10/27vs. HOU,11/03vs. DET,11/07vs. LAC,11/17vs. CIN,11/24vs. NYJ,12/01vs. KAN,12/08vs. TEN,12/15vs. JAX,12/22vs. LAC,12/29vs. DEN
0,Johnathan Abram ,rai,2019,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
1,Marcell Ateman,rai,2019,,,,,,,,,,,,,,Questionable: Ribs,,
2,Trent Brown,rai,2019,,,Questionable: Knee,Questionable: Ankle,,Doubtful: Calf,Questionable: Calf,,Questionable: Knee,Questionable: Knee,,Questionable: Knee,Out: Pectoral,Questionable: Pectoral,Injured Reserve: ,Injured Reserve: 
3,Vontaze Burfict,rai,2019,,,Questionable: Shoulder,,,,,,,,,,,,,
4,Paul Butler,rai,2019,Injured Reserve: ,,,,,,,,,,,,,,,
5,AJ Cole III,rai,2019,,Questionable: right Foot,,,,,,,,,,,,,,
6,Gareon Conley ,rai,2019,,Questionable: Neck,,,,,,,,,,,,,,
7,Isaiah Crowell,rai,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
8,Jordan Devey,rai,2019,,,,Questionable: Groin,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
9,Makinton Dorleant,rai,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
10,Justin Ellis,rai,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,
11,Clelin Ferrell,rai,2019,,,,,Questionable: Concussion,,,,,,,,,,,
