,Player,Team,Year,09/08vs. CAR,09/15vs. NOR,09/22vs. CLE,09/29vs. TAM,10/03vs. SEA,10/13vs. SFO,10/20vs. ATL,10/27vs. CIN,11/10vs. PIT,11/17vs. CHI,11/25vs. BAL,12/01vs. ARI,12/08vs. SEA,12/15vs. DAL,12/21vs. SFO,12/29vs. ARI
0,Brian Allen,ram,2019,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
1,Austin Blythe,ram,2019,,,Questionable: Ankle,,,,,,,,,,,,,
2,Malcolm Brown ,ram,2019,,,,,,,Doubtful: Ankle,Out: Ankle,,,,,,,,
3,Josh Carraway,ram,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
4,Brandin Cooks,ram,2019,,,,,,,,,Out: Concussion,Out: Concussion,,,,,,
5,Aaron Donald,ram,2019,,,Questionable: Back,,,,,,,,,,,,,
6,Gerald Everett,ram,2019,,,,,,,,,,Questionable: Wrist,,Out: Knee,Out: Knee,Out: Knee,,
7,Todd Gurley,ram,2019,,,,,,Doubtful: Quadricep,,,,,,,,,,
8,Bryce Hager,ram,2019,,,,,Out: Shoulder,,Questionable: Shoulder,Out: Shoulder,Out: Shoulder,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
9,Dominique Hatfield,ram,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
10,Rob Havenstein,ram,2019,,,,,,,,,,Out: Knee,Out: Knee,Out: Knee,Doubtful: Knee,Doubtful: Knee,,
11,Darrell Henderson,ram,2019,,,,,,,,,,,,,,,,Injured Reserve: 
12,Tyler Higbee,ram,2019,,,Out: Chest,,,,,,,Questionable: Knee,,,,,,
13,Troy Hill,ram,2019,,,,,,,,Questionable: Hamstring,,,,,,,Out: Thumb,Doubtful: Thumb
14,John Johnson,ram,2019,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
15,Micah Kiser,ram,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
16,Justin Lawler,ram,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
17,Clay Matthews,ram,2019,,,,,,Out: Jaw,Out: Jaw,Out: Jaw,,,,,,,,
18,Johnny Mundt,ram,2019,,,,,,,,,,Questionable: Groin,,,,,,
19,Jojo Natson,ram,2019,,,,,,,,,Questionable: Illness,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
20,Joseph Noteboom,ram,2019,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
21,Natrez Patrick,ram,2019,,,,,,,,,,,Questionable: Illness,,,,,
22,Jalen Ramsey,ram,2019,,,,,,,,,,,,,,,,Out: Knee
23,Taylor Rapp,ram,2019,,,,,Doubtful: Ankle,,,,,,,,,,,
24,Aqib Talib,ram,2019,,,,,,Out: Ribs,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,
25,Darious Williams,ram,2019,,,,,,,,,,Out: Ankle,Out: Ankle,Out: Ankle,,,,
26,Trevon Young,ram,2019,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,
27,Greg Zuerlein,ram,2019,,,,,,,,,,,,,,,Questionable: right Quadricep,
