,Player,Team,Year,09/09vs. BUF,09/13vs. CIN,09/23vs. DEN,09/30vs. PIT,10/07vs. CLE,10/14vs. TEN,10/21vs. NOR,10/28vs. CAR,11/04vs. PIT,11/18vs. CIN,11/25vs. OAK,12/02vs. ATL,12/09vs. KAN,12/16vs. TAM,12/22vs. LAC,12/30vs. CLE,01/06vs. LAC
0,Quincy Adeboyejo,rav,2018,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg
1,Anthony Averett,rav,2018,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,,,,,,,
2,Nick Boyle,rav,2018,,,,,,,,,,,,,,,Questionable: Concussion,,
3,Bradley Bozeman,rav,2018,,,,,,,,Questionable: Calf,Questionable: Calf,,,,,,,,
4,Bam Bradley,rav,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
5,John Brown,rav,2018,,,,,,,,,,,,,,,,Questionable: Hamstring,
6,Maurice Canady,rav,2018,Questionable: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,,,,,,,
7,Brandon Carr,rav,2018,,,,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,,,,,,,,
8,Alex Collins,rav,2018,,,,,,,,,Questionable: Foot,,Injured Reserve: Foot,Questionable: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
9,Kenneth Dixon,rav,2018,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,,,,
10,Gus Edwards ,rav,2018,,,,,,,,,,,,Questionable: Ankle,,,,,
11,DeShon Elliott,rav,2018,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm
12,Joe Flacco,rav,2018,,,,,,,,,,Doubtful: righthip,Out: Hip,Doubtful: Hip,Questionable: Hip,Questionable: Hip,,,
13,Janarion Grant,rav,2018,,Questionable: Hand,,,,,,,,,,,,,,,
14,Willie Henry ,rav,2018,Out: Abdomen,Out: Abdomen,Out: Abdomen,Out: Abdomen,Questionable: Abdomen,,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
15,Jaylen Hill,rav,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
16,Marlon Humphrey ,rav,2018,,,,,,,Questionable: Thigh,Out: Thigh,Questionable: Thigh,,,,Questionable: Groin,Questionable: Groin,,,
17,Hayden Hurst,rav,2018,Out: Foot,Out: Foot,Out: Foot,Questionable: Foot,Questionable: Foot,,,,,,,,,,,,
18,James Hurst,rav,2018,,,,,,,Questionable: Back,Out: Back,Out: Back,Out: Back,Out: Back,Doubtful: Back,Questionable: Back,,,,
19,Bennett Jackson,rav,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
20,Stanley Jean-Baptiste,rav,2018,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm,Injured Reserve: Forearm
21,Tony Jefferson,rav,2018,,,,,,,,,Questionable: Hamstring,Questionable: Thigh,,Out: Ankle,Doubtful: Ankle,Questionable: Ankle,,,
22,Matt Judon,rav,2018,,,Questionable: Hamstring,,,,,,,,,,,,Questionable: Knee,,
23,Jordan Lasley,rav,2018,,,,,,,,,Questionable: Hamstring,,,,,,,,
24,Anthony Levine,rav,2018,,,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,Questionable: Hamstring,,,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Ankle,Questionable: Toe,Questionable: Toe,
25,Alex Lewis,rav,2018,,,,,Questionable: Shoulder,,Out: Neck,Doubtful: Neck,Questionable: Neck,,Questionable: Shoulder,,Questionable: Shoulder,Doubtful: Shoulder,Questionable: Shoulder,Questionable: Shoulder,
26,Steven Moore,rav,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
27,C.J. Mosley,rav,2018,,,Questionable: Knee,Questionable: Knee,,,,,Questionable: Thigh,,,,,,,,
28,Michael Pierce,rav,2018,,,Questionable: Foot,Questionable: Foot,Questionable: Foot,Questionable: Foot,,,,,,,,,,,
29,Jaleel Scott,rav,2018,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision,Injured Reserve: Coach's Decision
30,Greg Senat,rav,2018,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe
31,Jimmy Smith,rav,2018,,,,,,,,Questionable: Groin,,,,,,,,,
32,Za'Darius Smith,rav,2018,,,,,Questionable: Hamstring,,,,,,,,,,,,
33,Ronnie Stanley ,rav,2018,,,Questionable: Elbow,Questionable: Foot,,,,,Out: Ankle,Questionable: Ankle,,,,,,,
34,Terrell Suggs,rav,2018,,,,Questionable: Knee,,,,,,,,,,,,Questionable: Hamstring,
35,Alex Thompson,rav,2018,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal,Injured Reserve: Personal
36,De'Lance Turner,rav,2018,,,,,,Out: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
37,Kaare Vedvik,rav,2018,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body,Injured Reserve: Upper Body
38,Tim Williams,rav,2018,,,,,Out: Hamstring,Questionable: Hamstring,,,Out: Ankle,Out: Ankle,Questionable: Ankle,Questionable: Illness,Questionable: Ankle,Questionable: Ankle,,,
39,Kenny Young,rav,2018,Questionable: Knee,,,,,,,,,,,,,,,,
