,Player,Team,Year,09/09vs. KAN,09/16vs. BUF,09/23vs. LAR,09/30vs. SFO,10/07vs. OAK,10/14vs. CLE,10/21vs. TEN,11/04vs. SEA,11/11vs. OAK,11/18vs. DEN,11/25vs. ARI,12/02vs. PIT,12/09vs. CIN,12/13vs. KAN,12/22vs. BAL,12/30vs. DEN,01/06vs. BAL,01/13vs. NWE
0,Keenan Allen ,sdg,2018,,,,Questionable: Knee,,,,,,,,,,,Questionable: Hip,,,
1,Joe Barksdale,sdg,2018,,Out: Knee,Out: Knee,Out: Knee,Doubtful: Knee,Questionable: Knee,,,,,,Out: NotInjuryRelated,,,,,,
2,Travis Benjamin,sdg,2018,,Questionable: Foot,Questionable: Foot,Questionable: Foot,Out: Foot,Out: Foot,Questionable: Foot,,,,,,,,,,,
3,Joey Bosa,sdg,2018,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Questionable: Foot,,,,,,,,
4,Brett Boyko,sdg,2018,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
5,Jatavis Brown,sdg,2018,,,,,,Doubtful: Groin,Questionable: Groin,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle
6,Sean Culkin,sdg,2018,,,,,,,,,,,,,Doubtful: Back,Out: Back,Out: Back,Questionable: Back,,
7,Austin Ekeler,sdg,2018,,,,,,,,,,,,,,Out: Neck,Doubtful: Neck,,,
8,Kyle Emanuel,sdg,2018,,,,,,,,,Questionable: Hip,,,,,,,,,
9,Brandon Facyson,sdg,2018,,,,,,,,,,,,,,,,,,Questionable: Concussion
10,Antonio Gates,sdg,2018,,,Questionable: Illness,,,,,,,Questionable: Knee,,,,,,,,
11,Melvin Gordon,sdg,2018,,,,,,,Questionable: Hamstring,Questionable: Hamstring,,,Questionable: Hamstring,Out: Knee,Out: Knee,Questionable: Knee,,,,
12,Hunter Henry ,sdg,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Questionable: Knee
13,Chris Landrum,sdg,2018,,,,,,,,Out: Hip,Questionable: Hip,,,,,,,,,
14,Corey Liuget,sdg,2018,,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
15,Craig Mager,sdg,2018,,Out: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
16,Brandon Mebane,sdg,2018,,,,,,,,,,,Questionable: NotInjuryRelated,Out: NotInjuryRelated,Doubtful: NotInjuryRelated,Doubtful: NotInjuryRelated,,,,
17,Russell Okung,sdg,2018,,,,,Questionable: Groin,Questionable: Groin,,,,,,,,,,,,
18,Denzel Perryman ,sdg,2018,,,,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
19,Darius Philon,sdg,2018,,,,,,,,,Questionable: Ankle,,,,,,,,,
20,Austin Roberts,sdg,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
21,Artavis Scott,sdg,2018,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
22,Caleb Sturgis,sdg,2018,,,,,,Questionable: rightQuadricep,Questionable: rightQuadricep,,,,,,,,,,,
23,Jason Verrett,sdg,2018,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
24,Jaylen Watkins,sdg,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
25,Derek Watt,sdg,2018,,,Questionable: Thumb,,,,,,,,,,,,,,,Questionable: Shoulder
26,Kyzir White,sdg,2018,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Out: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
27,Trevor Williams,sdg,2018,,,,,,,,,Questionable: Knee,Out: Knee,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
28,Tyrell Williams,sdg,2018,,,,,,,,,,,Questionable: Quadricep,Questionable: Quadricep,,,,,,
29,Kyle Wilson,sdg,2018,,,,,,,,,,,,,,,,,,Questionable: Concussion
