,Player,Team,Year,09/08vs. IND,09/15vs. DET,09/22vs. HOU,09/29vs. MIA,10/06vs. DEN,10/13vs. PIT,10/20vs. TEN,10/27vs. CHI,11/03vs. GNB,11/07vs. OAK,11/18vs. KAN,12/01vs. DEN,12/08vs. JAX,12/15vs. MIN,12/22vs. OAK,12/29vs. KAN
0,Nasir Adderley,sdg,2019,,,,,Doubtful: Hamstring,Doubtful: Hamstring,Out: Hamstring,Out: Hamstring,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
1,Keenan Allen ,sdg,2019,,,,,,,,Questionable: Hamstring,,,,,,,,
2,Michael Badgley,sdg,2019,Doubtful: right Groin,Questionable: right Groin,Questionable: right Groin,Out: right Groin,Doubtful: right Groin,Doubtful: right Groin,Questionable: right Groin,Questionable: right Groin,,,,,,,,
3,Travis Benjamin,sdg,2019,,,,Doubtful: Hip,Questionable: Hip,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
4,Cortez Broughton,sdg,2019,,,,,,,,Out: Illness,Out: Illness,Out: Illness,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
5,Jatavis Brown,sdg,2019,Doubtful: Ankle,Questionable: Ankle,,,,,,,,,,,,,,
6,Dylan Cantrell,sdg,2019,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
7,Sean Culkin,sdg,2019,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
8,Geremy Davis ,sdg,2019,Doubtful: Hamstring,Questionable: Hamstring,,,,,,,Questionable: Hamstring,Doubtful: Hamstring,Doubtful: Hamstring,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: 
9,Michael Davis ,sdg,2019,,Doubtful: Hamstring,Doubtful: Hamstring,,,,,,,,,,,,,
10,Thomas Davis ,sdg,2019,,,,,Questionable: Groin,,,,,,,,,,,
11,Nick Dzubnar,sdg,2019,,,,,,,,,,,,,Questionable: Concussion,,,
12,Virgil Green,sdg,2019,,,,Out: Groin,Questionable: Groin,,,,,,,,,,,
13,Casey Hayward,sdg,2019,,,,Questionable: Back,,,,,,,,,,,,
14,Hunter Henry ,sdg,2019,,Out: Knee,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,,,,,,
