Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Spread,vs. Line,Over/Under,OU Result,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate,Att,Yds,Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty,Pnt,Yds,Y/P
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAL,2019,2019-09-08,1:00,1:00,@,MIA,1,1,Sun,W 59-10,,59,10,49,69,-7.0,covered,41.0,over,23,26,88.5,378,6,0,1,1,158.3,46,265,5.76,2,643,73,8.8082,47,4.2553,,40:07,2:58,4,40,9,64,13,104,31,10,17,4,11,7,63.6%,2,2,100.0%,8,8,8,1,1,0,,,1,56,56.00
HOU,2017,2017-10-01,1:00,12:00,,TEN,4,4,Sun,W 57-14,,57,14,43,71,2.5,covered,43.0,over,25,34,73.5,272,4,1,2,11,125.0,42,173,4.12,2,445,78,5.7051,41,4.7561,1,39:41,2:56,3,20,6,88,9,108,33,10,19,4,12,6,50.0%,1,1,100.0%,7,7,6,3,3,0,,,2,122,61.00
TAM,2019,2019-09-29,4:05,1:05,@,LAR,4,4,Sun,W 55-40,,55,40,15,95,9.0,covered,48.5,over,28,41,68.3,376,4,1,2,9,120.5,30,88,2.93,2,464,73,6.3562,81,6.3951,1,32:36,3:39,12,99,13,106,25,205,27,3,22,2,13,8,61.5%,0,0,,7,7,7,2,2,0,,,2,88,44.00
LAR,2018,2018-11-19,8:15,7:15,,KAN,11,11,Mon,W 54-51,,54,51,3,105,-3.0,push,63.5,over,31,49,63.3,379,4,0,5,34,117.1,21,76,3.62,1,455,75,6.0667,69,7.9130,2,30:23,3:42,8,60,13,135,21,195,29,4,21,4,14,5,35.7%,1,1,100.0%,7,7,6,2,2,0,,,4,222,55.50
LAC,2017,2017-11-19,4:05,1:05,,BUF,11,10,Sun,W 54-24,,54,24,30,78,-7.0,covered,41.5,over,25,37,67.6,283,2,0,1,1,108.4,35,146,4.17,2,429,73,5.8767,62,6.3387,,36:05,3:09,1,13,6,48,7,61,28,8,20,0,14,7,50.0%,0,0,,6,6,6,5,4,0,,,2,73,36.50
HOU,2019,2019-10-06,1:00,12:00,,ATL,5,5,Sun,W 53-32,,53,32,21,85,-4.0,covered,49.0,over,28,33,84.8,426,5,0,0,0,158.3,34,166,4.88,1,592,67,8.8358,68,5.4853,1,31:00,3:13,9,89,7,63,16,152,31,11,18,2,13,10,76.9%,0,0,,7,7,5,2,2,0,,,1,35,35.00
NOR,2017,2017-10-15,1:00,12:00,,DET,6,5,Sun,W 52-38,,52,38,14,90,-6.0,covered,50.5,over,20,30,66.7,186,2,2,0,0,77.9,37,193,5.22,2,379,67,5.6567,76,4.5658,3,32:11,3:47,13,118,7,46,20,164,19,9,9,1,12,2,16.7%,1,1,100.0%,7,7,7,1,1,0,,,7,344,49.14
PIT,2018,2018-11-08,8:20,8:20,,CAR,10,9,Thu,W 52-21,,52,21,31,73,-3.5,covered,51.0,over,23,27,85.2,319,5,0,1,6,156.4,30,138,4.60,1,457,58,7.8793,56,4.3214,,30:35,2:49,1,24,5,42,6,66,25,10,14,1,11,8,72.7%,0,0,,7,7,7,1,1,0,,,2,80,40.00
KAN,2018,2018-11-19,8:15,7:15,@,LAR,11,11,Mon,L 51-54,,51,54,-3,105,3.0,push,63.5,over,33,46,71.7,448,6,3,3,30,117.6,20,98,4.90,0,546,69,7.9130,75,6.0667,5,29:37,3:42,13,135,8,60,21,195,27,2,21,4,10,5,50.0%,1,1,100.0%,7,7,6,1,1,0,,,3,142,47.33
