,Player,Team,Year,09/17vs. CHI,09/24vs. MIN,10/01vs. NYG,10/05vs. NWE,10/15vs. ARI,10/22vs. BUF,10/29vs. CAR,11/05vs. NOR,11/12vs. NYJ,11/19vs. MIA,11/26vs. ATL,12/03vs. GNB,12/10vs. DET,12/18vs. ATL,12/24vs. CAR,12/31vs. NOR
0,Jude Adjei-Barimah ,tam,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
1,Kwon Alexander,tam,2017,Questionable: Illness,Out: Hamstring,Out: Hamstring,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,,,,,,
2,Robert Ayers,tam,2017,,,Questionable: Knee,,Questionable: Back,Questionable: Knee,,Questionable: Ankle,Questionable: Ankle,,Out: Concussion,Out: Concussion,,,Out: Shoulder,Doubtful: Shoulder
3,Chris Baker,tam,2017,,Doubtful: Illness,,,,,Questionable: Ankle,Questionable: Ankle,,,,,,,,
4,Kendell Beckwith,tam,2017,,,,,,,,Questionable: Knee,,,,,,,,
5,Devante Bond,tam,2017,Out: Knee,Questionable: Knee,,,,,,,,,,,,,,Doubtful: Ankle
6,Cameron Brate,tam,2017,,,,,,,,,,,,Questionable: Hip,,,Questionable: Hip,Questionable: Hip
7,Lavonte David,tam,2017,,,Doubtful: Ankle,Doubtful: Ankle,Questionable: Ankle,Questionable: Ankle,,,,,,,,Out: Hamstring,Questionable: Hamstring,
8,Evan Dietrich-Smith,tam,2017,Questionable: Illness,,,,,,,,,,Out: Concussion,,,,,
9,Demar Dotson,tam,2017,,,,,,,,,Questionable: Hamstring,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
10,Justin Evans,tam,2017,,,,,,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle
11,Nick Folk,tam,2017,,,,,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg,Injured Reserve: Leg
12,William Gholston,tam,2017,,,,,,,,,Out: Neck,Out: Neck,Questionable: Neck,,,,,
