Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Cre'von LeBlanc,CHI,WAS,2016-12-24,2016,16,Questionable,knee,,
Cre'von LeBlanc,CHI,MIN,2017-01-01,2016,17,Questionable,knee,,
Cre'von LeBlanc,CHI,SFO,2017-12-03,2017,13,Questionable,Illness,,
Cre'von LeBlanc,PHI,HOU,2018-12-23,2018,16,Questionable,Hamstring,,
Cre'von LeBlanc,PHI,WAS,2019-09-08,2019,1,Injured Reserve,,,
Cre'von LeBlanc,PHI,ATL,2019-09-15,2019,2,Injured Reserve,,,
Cre'von LeBlanc,PHI,DET,2019-09-22,2019,3,Injured Reserve,,,
Cre'von LeBlanc,PHI,GNB,2019-09-26,2019,4,Injured Reserve,,,
Cre'von LeBlanc,PHI,NYJ,2019-10-06,2019,5,Injured Reserve,,,
Cre'von LeBlanc,PHI,MIN,2019-10-13,2019,6,Injured Reserve,,,
Cre'von LeBlanc,PHI,DAL,2019-10-20,2019,7,Injured Reserve,,,
Cre'von LeBlanc,PHI,BUF,2019-10-27,2019,8,Injured Reserve,,,
Cre'von LeBlanc,PHI,CHI,2019-11-03,2019,9,Injured Reserve,,,
Cre'von LeBlanc,PHI,NWE,2019-11-17,2019,11,Injured Reserve,,,
Cre'von LeBlanc,PHI,SEA,2019-11-24,2019,12,Injured Reserve,,,
Cre'von LeBlanc,PHI,MIA,2019-12-01,2019,13,Injured Reserve,,,
Cre'von LeBlanc,PHI,DAL,2020-11-01,2020,8,Out,Quadricep,,
Cre'von LeBlanc,PHI,NOR,2020-12-13,2020,14,Injured Reserve,,,
Cre'von LeBlanc,PHI,ARI,2020-12-20,2020,15,Injured Reserve,,,
Cre'von LeBlanc,PHI,DAL,2020-12-27,2020,16,Injured Reserve,,,
Cre'von LeBlanc,PHI,WAS,2021-01-03,2020,17,Injured Reserve,,,
