Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Destiny Vaeao,PHI,KAN,2017-09-17,2017,2,Out,Wrist,,
Destiny Vaeao,PHI,NYG,2017-09-24,2017,3,Out,Wrist,,
Destiny Vaeao,PHI,LAC,2017-10-01,2017,4,Out,Wrist,,
Destiny Vaeao,PHI,ARI,2017-10-08,2017,5,Questionable,Wrist,,
Destiny Vaeao,PHI,CAR,2017-10-12,2017,6,Questionable,Wrist,,
Destiny Vaeao,PHI,CAR,2018-10-21,2018,7,Injured Reserve,Undisclosed,,
Destiny Vaeao,PHI,JAX,2018-10-28,2018,8,Injured Reserve,Undisclosed,,
Destiny Vaeao,PHI,DAL,2018-11-11,2018,10,Injured Reserve,Undisclosed,,
Destiny Vaeao,PHI,NOR,2018-11-18,2018,11,Injured Reserve,Undisclosed,,
Destiny Vaeao,PHI,NYG,2018-11-25,2018,12,Injured Reserve,Undisclosed,,
Destiny Vaeao,PHI,WAS,2018-12-03,2018,13,Injured Reserve,Undisclosed,,
Destiny Vaeao,PHI,DAL,2018-12-09,2018,14,Injured Reserve,Undisclosed,,
Destiny Vaeao,PHI,LAR,2018-12-16,2018,15,Injured Reserve,Undisclosed,,
Destiny Vaeao,PHI,HOU,2018-12-23,2018,16,Injured Reserve,Undisclosed,,
Destiny Vaeao,PHI,WAS,2018-12-30,2018,17,Injured Reserve,Undisclosed,,
Destiny Vaeao,CAR,LAR,2019-09-08,2019,1,Injured Reserve,,,
Destiny Vaeao,CAR,TAM,2019-09-12,2019,2,Injured Reserve,,,
Destiny Vaeao,CAR,ARI,2019-09-22,2019,3,Injured Reserve,,,
Destiny Vaeao,CAR,HOU,2019-09-29,2019,4,Injured Reserve,,,
