Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Zach Laskey,LAR,SFO,2016-09-12,2016,1,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,SEA,2016-09-18,2016,2,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,TAM,2016-09-25,2016,3,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,ARI,2016-10-02,2016,4,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,BUF,2016-10-09,2016,5,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,DET,2016-10-16,2016,6,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,NYG,2016-10-23,2016,7,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,CAR,2016-11-06,2016,9,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,NYJ,2016-11-13,2016,10,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,MIA,2016-11-20,2016,11,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,NOR,2016-11-27,2016,12,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,NWE,2016-12-04,2016,13,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,ATL,2016-12-11,2016,14,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,SEA,2016-12-15,2016,15,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,SFO,2016-12-24,2016,16,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,ARI,2017-01-01,2016,17,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,IND,2017-09-10,2017,1,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,WAS,2017-09-17,2017,2,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,SFO,2017-09-21,2017,3,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,DAL,2017-10-01,2017,4,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,SEA,2017-10-08,2017,5,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,JAX,2017-10-15,2017,6,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,ARI,2017-10-22,2017,7,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,NYG,2017-11-05,2017,9,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,HOU,2017-11-12,2017,10,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,MIN,2017-11-19,2017,11,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,NOR,2017-11-26,2017,12,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,ARI,2017-12-03,2017,13,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,PHI,2017-12-10,2017,14,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,SEA,2017-12-17,2017,15,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,TEN,2017-12-24,2017,16,Injured Reserve,Undisclosed,,
Zach Laskey,LAR,SFO,2017-12-31,2017,17,Injured Reserve,Undisclosed,,
