Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Byron Cowart,NWE,HOU,2019-12-01,2019,13,Questionable,Head,,
Byron Cowart,NWE,KAN,2019-12-08,2019,14,Questionable,Head,,
Byron Cowart,NWE,CIN,2019-12-15,2019,15,Questionable,Concussion,,
Byron Cowart,NWE,DEN,2020-10-18,2020,6,C19,,,
Byron Cowart,NWE,SFO,2020-10-25,2020,7,C19,,,
Byron Cowart,NWE,ARI,2020-11-29,2020,12,Questionable,Back,,
Byron Cowart,NWE,LAC,2020-12-06,2020,13,Questionable,Back,,
Byron Cowart,NWE,LAR,2020-12-10,2020,14,Questionable,Back,,
Byron Cowart,NWE,MIA,2020-12-20,2020,15,Questionable,Back,,
Byron Cowart,NWE,BUF,2020-12-28,2020,16,Questionable,Back,,
Byron Cowart,NWE,NYJ,2021-01-03,2020,17,Questionable,Back,,
