Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
James Develin,NWE,NYJ,2019-09-22,2019,3,Out,Neck,,
James Develin,NWE,BUF,2019-09-29,2019,4,Injured Reserve,,,
James Develin,NWE,WAS,2019-10-06,2019,5,Injured Reserve,,,
James Develin,NWE,NYG,2019-10-10,2019,6,Injured Reserve,,,
James Develin,NWE,NYJ,2019-10-21,2019,7,Injured Reserve,,,
James Develin,NWE,CLE,2019-10-27,2019,8,Injured Reserve,,,
James Develin,NWE,BAL,2019-11-03,2019,9,Injured Reserve,,,
James Develin,NWE,PHI,2019-11-17,2019,11,Injured Reserve,,,
James Develin,NWE,DAL,2019-11-24,2019,12,Injured Reserve,,,
James Develin,NWE,HOU,2019-12-01,2019,13,Injured Reserve,,,
James Develin,NWE,KAN,2019-12-08,2019,14,Injured Reserve,,,
James Develin,NWE,CIN,2019-12-15,2019,15,Injured Reserve,,,
James Develin,NWE,BUF,2019-12-21,2019,16,Injured Reserve,,,
James Develin,NWE,MIA,2019-12-29,2019,17,Injured Reserve,,,
