Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Markus Wheaton,PIT,MIA,2016-10-16,2016,6,Injured Reserve,Shoulder,,
Markus Wheaton,PIT,NWE,2016-10-23,2016,7,Injured Reserve,Shoulder,,
Markus Wheaton,PIT,BAL,2016-11-06,2016,9,Injured Reserve,Shoulder,,
Markus Wheaton,PIT,DAL,2016-11-13,2016,10,Injured Reserve,Shoulder,,
Markus Wheaton,PIT,CLE,2016-11-20,2016,11,Injured Reserve,Shoulder,,
Markus Wheaton,PIT,IND,2016-11-24,2016,12,Injured Reserve,Shoulder,,
Markus Wheaton,PIT,NYG,2016-12-04,2016,13,Injured Reserve,Shoulder,,
Markus Wheaton,PIT,BUF,2016-12-11,2016,14,Injured Reserve,Shoulder,,
Markus Wheaton,PIT,CIN,2016-12-18,2016,15,Injured Reserve,Shoulder,,
Markus Wheaton,PIT,BAL,2016-12-25,2016,16,Injured Reserve,Shoulder,,
Markus Wheaton,PIT,CLE,2017-01-01,2016,17,Injured Reserve,Shoulder,,
Markus Wheaton,CHI,ATL,2017-09-10,2017,1,Questionable,Finger,,
Markus Wheaton,CHI,TAM,2017-09-17,2017,2,Questionable,Finger,,
Markus Wheaton,CHI,BAL,2017-10-15,2017,6,Out,Groin,,
Markus Wheaton,CHI,CAR,2017-10-22,2017,7,Out,Groin,,
Markus Wheaton,CHI,NOR,2017-10-29,2017,8,Doubtful,Groin,,
