Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Arie Kouandjio,WAS,ARI,2018-09-09,2018,1,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,IND,2018-09-16,2018,2,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,GNB,2018-09-23,2018,3,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,NOR,2018-10-08,2018,5,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,CAR,2018-10-14,2018,6,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,DAL,2018-10-21,2018,7,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,NYG,2018-10-28,2018,8,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,ATL,2018-11-04,2018,9,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,TAM,2018-11-11,2018,10,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,HOU,2018-11-18,2018,11,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,DAL,2018-11-22,2018,12,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,PHI,2018-12-03,2018,13,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,NYG,2018-12-09,2018,14,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,JAX,2018-12-16,2018,15,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,TEN,2018-12-22,2018,16,Injured Reserve,Quadricep,,
Arie Kouandjio,WAS,PHI,2018-12-30,2018,17,Injured Reserve,Quadricep,,
