Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Greg Roberts,GNB,CHI,2019-09-05,2019,1,Physically Unable to Perform,,,
Greg Roberts,GNB,MIN,2019-09-15,2019,2,Physically Unable to Perform,,,
Greg Roberts,GNB,DEN,2019-09-22,2019,3,Physically Unable to Perform,,,
Greg Roberts,GNB,PHI,2019-09-26,2019,4,Physically Unable to Perform,,,
Greg Roberts,GNB,DAL,2019-10-06,2019,5,Physically Unable to Perform,,,
Greg Roberts,GNB,DET,2019-10-14,2019,6,Physically Unable to Perform,,,
Greg Roberts,GNB,OAK,2019-10-20,2019,7,Physically Unable to Perform,,,
Greg Roberts,GNB,KAN,2019-10-27,2019,8,Physically Unable to Perform,,,
Greg Roberts,GNB,LAC,2019-11-03,2019,9,Physically Unable to Perform,,,
Greg Roberts,GNB,CAR,2019-11-10,2019,10,Physically Unable to Perform,,,
Greg Roberts,GNB,SFO,2019-11-24,2019,12,Physically Unable to Perform,,,
Greg Roberts,GNB,NYG,2019-12-01,2019,13,Physically Unable to Perform,,,
Greg Roberts,GNB,WAS,2019-12-08,2019,14,Physically Unable to Perform,,,
Greg Roberts,GNB,CHI,2019-12-15,2019,15,Physically Unable to Perform,,,
Greg Roberts,GNB,MIN,2019-12-23,2019,16,Physically Unable to Perform,,,
Greg Roberts,GNB,DET,2019-12-29,2019,17,Physically Unable to Perform,,,
