Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Russell Wilson,SEA,SFO,2016-09-25,2016,3,day-to-day,knee,,
Russell Wilson,SEA,NYJ,2016-10-02,2016,4,day-to-day,knee,,
Russell Wilson,SEA,ATL,2016-10-16,2016,6,day-to-day,knee,,
Russell Wilson,SEA,ARI,2016-10-23,2016,7,day-to-day,knee,,
Russell Wilson,SEA,NOR,2016-10-30,2016,8,day-to-day,knee,,
Russell Wilson,SEA,BUF,2016-11-07,2016,9,day-to-day,knee,,
Russell Wilson,SEA,NWE,2016-11-13,2016,10,day-to-day,knee,,
Russell Wilson,SEA,PHI,2016-11-20,2016,11,day-to-day,knee,,
Russell Wilson,SEA,TAM,2016-11-27,2016,12,day-to-day,knee,,
Russell Wilson,SEA,CAR,2016-12-04,2016,13,day-to-day,knee,,
Russell Wilson,SEA,GNB,2016-12-11,2016,14,day-to-day,knee,,
Russell Wilson,SEA,LAR,2016-12-15,2016,15,day-to-day,knee,,
Russell Wilson,SEA,ARI,2016-12-24,2016,16,day-to-day,knee,,
Russell Wilson,SEA,SFO,2017-01-01,2016,17,day-to-day,knee,,
