Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Tyler Eifert,CIN,NYJ,2016-09-11,2016,1,Out,ankle,,
Tyler Eifert,CIN,PIT,2016-09-18,2016,2,Out,ankle,,
Tyler Eifert,CIN,DEN,2016-09-25,2016,3,Doubtful,ankle,,
Tyler Eifert,CIN,MIA,2016-09-29,2016,4,Doubtful,ankle,,
Tyler Eifert,CIN,DAL,2016-10-09,2016,5,Out,"back, ankle",,
Tyler Eifert,CIN,NWE,2016-10-16,2016,6,Out,"back, ankle",,
Tyler Eifert,CIN,CLE,2016-10-23,2016,7,Questionable,"back, ankle",,
Tyler Eifert,CIN,HOU,2016-12-24,2016,16,Injured Reserve,Back,,
Tyler Eifert,CIN,BAL,2017-01-01,2016,17,Injured Reserve,Back,,
Tyler Eifert,CIN,GNB,2017-09-24,2017,3,Injured Reserve,Back,,
Tyler Eifert,CIN,CLE,2017-10-01,2017,4,Injured Reserve,Back,,
Tyler Eifert,CIN,BUF,2017-10-08,2017,5,Injured Reserve,Back,,
Tyler Eifert,CIN,PIT,2017-10-22,2017,7,Injured Reserve,Back,,
Tyler Eifert,CIN,IND,2017-10-29,2017,8,Injured Reserve,Back,,
Tyler Eifert,CIN,JAX,2017-11-05,2017,9,Injured Reserve,Back,,
Tyler Eifert,CIN,TEN,2017-11-12,2017,10,Injured Reserve,Back,,
Tyler Eifert,CIN,DEN,2017-11-19,2017,11,Injured Reserve,Back,,
Tyler Eifert,CIN,CLE,2017-11-26,2017,12,Injured Reserve,Back,,
Tyler Eifert,CIN,PIT,2017-12-04,2017,13,Injured Reserve,Back,,
Tyler Eifert,CIN,CHI,2017-12-10,2017,14,Injured Reserve,Back,,
Tyler Eifert,CIN,MIN,2017-12-17,2017,15,Injured Reserve,Back,,
Tyler Eifert,CIN,DET,2017-12-24,2017,16,Injured Reserve,Back,,
Tyler Eifert,CIN,BAL,2017-12-31,2017,17,Injured Reserve,Back,,
Tyler Eifert,CIN,MIA,2018-10-07,2018,5,Out,Ankle,,
Tyler Eifert,CIN,PIT,2018-10-14,2018,6,Injured Reserve,Ankle,,
Tyler Eifert,CIN,KAN,2018-10-21,2018,7,Injured Reserve,Ankle,,
Tyler Eifert,CIN,TAM,2018-10-28,2018,8,Injured Reserve,Ankle,,
Tyler Eifert,CIN,NOR,2018-11-11,2018,10,Injured Reserve,Ankle,,
Tyler Eifert,CIN,BAL,2018-11-18,2018,11,Injured Reserve,Ankle,,
Tyler Eifert,CIN,CLE,2018-11-25,2018,12,Injured Reserve,Ankle,,
Tyler Eifert,CIN,DEN,2018-12-02,2018,13,Injured Reserve,Ankle,,
Tyler Eifert,CIN,LAC,2018-12-09,2018,14,Injured Reserve,Ankle,,
Tyler Eifert,CIN,OAK,2018-12-16,2018,15,Injured Reserve,Ankle,,
Tyler Eifert,CIN,CLE,2018-12-23,2018,16,Injured Reserve,Ankle,,
Tyler Eifert,CIN,PIT,2018-12-30,2018,17,Injured Reserve,Ankle,,
Tyler Eifert,JAX,DET,2020-10-18,2020,6,Questionable,Neck,,
Tyler Eifert,JAX,LAC,2020-10-25,2020,7,Out,Neck,,
Tyler Eifert,JAX,TEN,2020-12-13,2020,14,Questionable,Shoulder,,
