Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jon Halapio,NYG,HOU,2018-09-23,2018,3,Injured Reserve,Ankle,,
Jon Halapio,NYG,NOR,2018-09-30,2018,4,Injured Reserve,Ankle,,
Jon Halapio,NYG,CAR,2018-10-07,2018,5,Injured Reserve,Ankle,,
Jon Halapio,NYG,PHI,2018-10-11,2018,6,Injured Reserve,Ankle,,
Jon Halapio,NYG,ATL,2018-10-22,2018,7,Injured Reserve,Ankle,,
Jon Halapio,NYG,WAS,2018-10-28,2018,8,Injured Reserve,Ankle,,
Jon Halapio,NYG,SFO,2018-11-12,2018,10,Injured Reserve,Ankle,,
Jon Halapio,NYG,TAM,2018-11-18,2018,11,Injured Reserve,Ankle,,
Jon Halapio,NYG,PHI,2018-11-25,2018,12,Injured Reserve,Ankle,,
Jon Halapio,NYG,CHI,2018-12-02,2018,13,Injured Reserve,Ankle,,
Jon Halapio,NYG,WAS,2018-12-09,2018,14,Injured Reserve,Ankle,,
Jon Halapio,NYG,TEN,2018-12-16,2018,15,Injured Reserve,Ankle,,
Jon Halapio,NYG,IND,2018-12-23,2018,16,Injured Reserve,Ankle,,
Jon Halapio,NYG,DAL,2018-12-30,2018,17,Injured Reserve,Ankle,,
Jon Halapio,NYG,NYJ,2019-11-10,2019,10,Out,Hamstring,,
