Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jon Feliciano,OAK,KAN,2016-10-16,2016,6,Questionable,calf,,
Jon Feliciano,OAK,JAX,2016-10-23,2016,7,Questionable,calf,,
Jon Feliciano,OAK,KAN,2017-12-10,2017,14,Out,Concussion,,
Jon Feliciano,OAK,DAL,2017-12-17,2017,15,Questionable,Concussion,,
Jon Feliciano,OAK,PHI,2017-12-25,2017,16,Injured Reserve,Concussion,,
Jon Feliciano,OAK,LAC,2017-12-31,2017,17,Injured Reserve,Concussion,,
Jon Feliciano,OAK,CIN,2018-12-16,2018,15,Injured Reserve,Calf,,
Jon Feliciano,OAK,DEN,2018-12-24,2018,16,Injured Reserve,Calf,,
Jon Feliciano,OAK,KAN,2018-12-30,2018,17,Injured Reserve,Calf,,
Jon Feliciano,BUF,NWE,2019-09-29,2019,4,Questionable,Neck,,
Jon Feliciano,BUF,PIT,2019-12-15,2019,15,Questionable,Illness,,
Jon Feliciano,BUF,NYJ,2020-09-13,2020,1,Injured Reserve,,,
Jon Feliciano,BUF,MIA,2020-09-20,2020,2,Injured Reserve,,,
Jon Feliciano,BUF,LAR,2020-09-27,2020,3,Injured Reserve,,,
Jon Feliciano,BUF,LVR,2020-10-04,2020,4,Injured Reserve,,,
Jon Feliciano,BUF,TEN,2020-10-13,2020,5,Injured Reserve,,,
Jon Feliciano,BUF,KAN,2020-10-19,2020,6,Injured Reserve,,,
Jon Feliciano,BUF,NYJ,2020-10-25,2020,7,Injured Reserve,,,
Jon Feliciano,BUF,NWE,2020-11-01,2020,8,Injured Reserve,,,
