Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Patrick Murray,CLE,MIA,2016-09-25,2016,3,Injured Reserve,Knee,,
Patrick Murray,CLE,WAS,2016-10-02,2016,4,Injured Reserve,Knee,,
Patrick Murray,CLE,NWE,2016-10-09,2016,5,Injured Reserve,Knee,,
Patrick Murray,CLE,TEN,2016-10-16,2016,6,Injured Reserve,Knee,,
Patrick Murray,CLE,CIN,2016-10-23,2016,7,Injured Reserve,Knee,,
Patrick Murray,CLE,NYJ,2016-10-30,2016,8,Injured Reserve,Knee,,
Patrick Murray,CLE,DAL,2016-11-06,2016,9,Injured Reserve,Knee,,
Patrick Murray,CLE,BAL,2016-11-10,2016,10,Injured Reserve,Knee,,
Patrick Murray,CLE,PIT,2016-11-20,2016,11,Injured Reserve,Knee,,
Patrick Murray,CLE,NYG,2016-11-27,2016,12,Injured Reserve,Knee,,
Patrick Murray,CLE,CIN,2016-12-11,2016,14,Injured Reserve,Knee,,
Patrick Murray,CLE,BUF,2016-12-18,2016,15,Injured Reserve,Knee,,
Patrick Murray,CLE,SDG,2016-12-24,2016,16,Injured Reserve,Knee,,
Patrick Murray,CLE,PIT,2017-01-01,2016,17,Injured Reserve,Knee,,
