Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ulrick John,ARI,NOR,2016-12-18,2016,15,Injured Reserve,Shoulder,,
Ulrick John,ARI,SEA,2016-12-24,2016,16,Injured Reserve,Shoulder,,
Ulrick John,ARI,LAR,2017-01-01,2016,17,Injured Reserve,Shoulder,,
Ulrick John,GNB,DET,2017-12-31,2017,17,Questionable,Back,,
Ulrick John,NWE,HOU,2018-09-09,2018,1,Injured Reserve,Foot,,
Ulrick John,NWE,JAX,2018-09-16,2018,2,Injured Reserve,Foot,,
Ulrick John,NWE,DET,2018-09-23,2018,3,Injured Reserve,Foot,,
Ulrick John,NWE,MIA,2018-09-30,2018,4,Injured Reserve,Foot,,
Ulrick John,NWE,IND,2018-10-04,2018,5,Injured Reserve,Foot,,
Ulrick John,NWE,KAN,2018-10-14,2018,6,Injured Reserve,Foot,,
Ulrick John,NWE,CHI,2018-10-21,2018,7,Injured Reserve,Foot,,
Ulrick John,NWE,BUF,2018-10-29,2018,8,Injured Reserve,Foot,,
Ulrick John,NWE,GNB,2018-11-04,2018,9,Injured Reserve,Foot,,
Ulrick John,NWE,TEN,2018-11-11,2018,10,Injured Reserve,Foot,,
Ulrick John,NWE,NYJ,2018-11-25,2018,12,Injured Reserve,Foot,,
Ulrick John,NWE,MIN,2018-12-02,2018,13,Injured Reserve,Foot,,
Ulrick John,NWE,MIA,2018-12-09,2018,14,Injured Reserve,Foot,,
Ulrick John,NWE,PIT,2018-12-16,2018,15,Injured Reserve,Foot,,
Ulrick John,NWE,BUF,2018-12-23,2018,16,Injured Reserve,Foot,,
Ulrick John,NWE,NYJ,2018-12-30,2018,17,Injured Reserve,Foot,,
