Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Quandre Diggs,DET,CHI,2016-12-11,2016,14,Injured Reserve,Pectoral,,
Quandre Diggs,DET,NYG,2016-12-18,2016,15,Injured Reserve,Pectoral,,
Quandre Diggs,DET,DAL,2016-12-26,2016,16,Injured Reserve,Pectoral,,
Quandre Diggs,DET,GNB,2017-01-01,2016,17,Injured Reserve,Pectoral,,
Quandre Diggs,DET,GNB,2018-10-07,2018,5,Questionable,Hand,,
Quandre Diggs,DET,GNB,2018-12-30,2018,17,Questionable,Back,,
Quandre Diggs,DET,GNB,2019-10-14,2019,6,Questionable,Hamstring,,
Quandre Diggs,DET,MIN,2019-10-20,2019,7,Questionable,Hamstring,,
Quandre Diggs,SEA,ATL,2019-10-27,2019,8,Questionable,Hamstring,,
Quandre Diggs,SEA,TAM,2019-11-03,2019,9,Doubtful,Hamstring,,
Quandre Diggs,SEA,ARI,2019-12-22,2019,16,Doubtful,Ankle,,
Quandre Diggs,SEA,SFO,2019-12-29,2019,17,Questionable,Ankle,,
