Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
John Johnson,LAR,ATL,2019-10-20,2019,7,Injured Reserve,,,
John Johnson,LAR,CIN,2019-10-27,2019,8,Injured Reserve,,,
John Johnson,LAR,PIT,2019-11-10,2019,10,Injured Reserve,,,
John Johnson,LAR,CHI,2019-11-17,2019,11,Injured Reserve,,,
John Johnson,LAR,BAL,2019-11-25,2019,12,Injured Reserve,,,
John Johnson,LAR,ARI,2019-12-01,2019,13,Injured Reserve,,,
John Johnson,LAR,SEA,2019-12-08,2019,14,Injured Reserve,,,
John Johnson,LAR,DAL,2019-12-15,2019,15,Injured Reserve,,,
John Johnson,LAR,SFO,2019-12-21,2019,16,Injured Reserve,,,
John Johnson,LAR,ARI,2019-12-29,2019,17,Injured Reserve,,,
