Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Christian McCaffrey,CAR,NOR,2017-12-03,2017,13,Questionable,Shoulder,,
Christian McCaffrey,CAR,LAC,2020-09-27,2020,3,Injured Reserve,,,
Christian McCaffrey,CAR,ARI,2020-10-04,2020,4,Injured Reserve,,,
Christian McCaffrey,CAR,ATL,2020-10-11,2020,5,Injured Reserve,,,
Christian McCaffrey,CAR,CHI,2020-10-18,2020,6,Injured Reserve,,,
Christian McCaffrey,CAR,NOR,2020-10-25,2020,7,Injured Reserve,,,
Christian McCaffrey,CAR,ATL,2020-10-29,2020,8,Injured Reserve,,,
Christian McCaffrey,CAR,KAN,2020-11-08,2020,9,Injured Reserve,,,
Christian McCaffrey,CAR,TAM,2020-11-15,2020,10,Out,Shoulder,,
Christian McCaffrey,CAR,DET,2020-11-22,2020,11,Out,Shoulder,,
Christian McCaffrey,CAR,MIN,2020-11-29,2020,12,Questionable,Shoulder,,
Christian McCaffrey,CAR,DEN,2020-12-13,2020,14,Doubtful,Shoulder,,
Christian McCaffrey,CAR,GNB,2020-12-19,2020,15,Doubtful,Thigh,,
Christian McCaffrey,CAR,WAS,2020-12-27,2020,16,Doubtful,Thigh,,
Christian McCaffrey,CAR,NOR,2021-01-03,2020,17,Doubtful,Thigh,,
