Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
David Amerson,OAK,TEN,2016-09-25,2016,3,Questionable,concussion,,
David Amerson,OAK,CAR,2016-11-27,2016,12,Questionable,knee,,
David Amerson,OAK,BUF,2016-12-04,2016,13,Questionable,knee,,
David Amerson,OAK,BAL,2017-10-08,2017,5,Questionable,Concussion,,
David Amerson,OAK,LAC,2017-10-15,2017,6,Questionable,Shoulder,,
David Amerson,OAK,BUF,2017-10-29,2017,8,Out,Foot,,
David Amerson,OAK,MIA,2017-11-05,2017,9,Out,Foot,,
David Amerson,OAK,NWE,2017-11-19,2017,11,Doubtful,Foot,,
David Amerson,OAK,DEN,2017-11-26,2017,12,Out,Foot,,
David Amerson,OAK,NYG,2017-12-03,2017,13,Questionable,Foot,,
David Amerson,OAK,KAN,2017-12-10,2017,14,Questionable,Foot,,
David Amerson,OAK,DAL,2017-12-17,2017,15,Doubtful,Foot,,
David Amerson,OAK,PHI,2017-12-25,2017,16,Doubtful,Foot,,
David Amerson,OAK,LAC,2017-12-31,2017,17,Questionable,Foot,,
