Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Taco Charlton,MIA,BUF,2019-11-17,2019,11,Questionable,Elbow,,
Taco Charlton,MIA,CLE,2019-11-24,2019,12,Questionable,Elbow,,
Taco Charlton,MIA,CIN,2019-12-22,2019,16,Questionable,Ankle,,
Taco Charlton,MIA,NWE,2019-12-29,2019,17,Questionable,Ankle,,
Taco Charlton,KAN,DEN,2020-10-25,2020,7,Out,Knee,,
Taco Charlton,KAN,LVR,2020-11-22,2020,11,Out,Ankle,,
Taco Charlton,KAN,TAM,2020-11-29,2020,12,Injured Reserve,,,
Taco Charlton,KAN,DEN,2020-12-06,2020,13,Injured Reserve,,,
Taco Charlton,KAN,MIA,2020-12-13,2020,14,Injured Reserve,,,
Taco Charlton,KAN,NOR,2020-12-20,2020,15,Injured Reserve,,,
Taco Charlton,KAN,ATL,2020-12-27,2020,16,Injured Reserve,,,
Taco Charlton,KAN,LAC,2021-01-03,2020,17,Injured Reserve,,,
