Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Deonte Harris,NOR,TAM,2019-11-17,2019,11,Out,Hamstring,,
Deonte Harris,NOR,CAR,2019-11-24,2019,12,Out,Hamstring,,
Deonte Harris,NOR,ATL,2019-11-28,2019,13,Questionable,Hamstring,,
Deonte Harris,NOR,LAC,2020-10-12,2020,5,Out,Hamstring,,
Deonte Harris,NOR,DEN,2020-11-29,2020,12,Questionable,Neck,,
Deonte Harris,NOR,ATL,2020-12-06,2020,13,Questionable,Neck,,
Deonte Harris,NOR,PHI,2020-12-13,2020,14,Questionable,Neck,,
Deonte Harris,NOR,KAN,2020-12-20,2020,15,Injured Reserve,,,
Deonte Harris,NOR,MIN,2020-12-25,2020,16,Injured Reserve,,,
Deonte Harris,NOR,CAR,2021-01-03,2020,17,Injured Reserve,,,
