Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Dymonte Thomas,DEN,BAL,2018-09-23,2018,3,Questionable,Abdomen,,
Dymonte Thomas,DEN,KAN,2018-10-01,2018,4,Questionable,Abdomen,,
Dymonte Thomas,DEN,ARI,2018-10-18,2018,7,Out,Chest,,
Dymonte Thomas,DEN,LAC,2018-11-18,2018,11,Out,Ankle,,
Dymonte Thomas,DEN,PIT,2018-11-25,2018,12,Out,Ankle,,
Dymonte Thomas,DEN,OAK,2019-09-09,2019,1,Injured Reserve,,,
Dymonte Thomas,DEN,CHI,2019-09-15,2019,2,Injured Reserve,,,
Dymonte Thomas,DEN,GNB,2019-09-22,2019,3,Injured Reserve,,,
Dymonte Thomas,DEN,JAX,2019-09-29,2019,4,Injured Reserve,,,
Dymonte Thomas,DEN,LAC,2019-10-06,2019,5,Injured Reserve,,,
Dymonte Thomas,DEN,TEN,2019-10-13,2019,6,Injured Reserve,,,
Dymonte Thomas,DEN,KAN,2019-10-17,2019,7,Injured Reserve,,,
Dymonte Thomas,DEN,IND,2019-10-27,2019,8,Injured Reserve,,,
Dymonte Thomas,DEN,CLE,2019-11-03,2019,9,Injured Reserve,,,
Dymonte Thomas,DEN,MIN,2019-11-17,2019,11,Injured Reserve,,,
Dymonte Thomas,DEN,BUF,2019-11-24,2019,12,Injured Reserve,,,
Dymonte Thomas,DEN,LAC,2019-12-01,2019,13,Injured Reserve,,,
Dymonte Thomas,DEN,HOU,2019-12-08,2019,14,Injured Reserve,,,
Dymonte Thomas,DEN,KAN,2019-12-15,2019,15,Injured Reserve,,,
Dymonte Thomas,DEN,DET,2019-12-22,2019,16,Injured Reserve,,,
Dymonte Thomas,DEN,OAK,2019-12-29,2019,17,Injured Reserve,,,
