Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Asante Cleveland,LAC,HOU,2016-11-27,2016,12,Out,"concussion, knee",,
Asante Cleveland,LAC,TAM,2016-12-04,2016,13,Questionable,"concussion, knee",,
Asante Cleveland,LAC,DEN,2017-09-11,2017,1,Injured Reserve,Knee,,
Asante Cleveland,LAC,MIA,2017-09-17,2017,2,Injured Reserve,Knee,,
Asante Cleveland,LAC,KAN,2017-09-24,2017,3,Injured Reserve,Knee,,
Asante Cleveland,LAC,PHI,2017-10-01,2017,4,Injured Reserve,Knee,,
Asante Cleveland,LAC,NYG,2017-10-08,2017,5,Injured Reserve,Knee,,
Asante Cleveland,LAC,OAK,2017-10-15,2017,6,Injured Reserve,Knee,,
Asante Cleveland,LAC,DEN,2017-10-22,2017,7,Injured Reserve,Knee,,
Asante Cleveland,LAC,NWE,2017-10-29,2017,8,Injured Reserve,Knee,,
Asante Cleveland,LAC,JAX,2017-11-12,2017,10,Injured Reserve,Knee,,
Asante Cleveland,LAC,BUF,2017-11-19,2017,11,Injured Reserve,Knee,,
Asante Cleveland,LAC,DAL,2017-11-23,2017,12,Injured Reserve,Knee,,
Asante Cleveland,LAC,CLE,2017-12-03,2017,13,Injured Reserve,Knee,,
Asante Cleveland,LAC,WAS,2017-12-10,2017,14,Injured Reserve,Knee,,
Asante Cleveland,LAC,KAN,2017-12-16,2017,15,Injured Reserve,Knee,,
Asante Cleveland,LAC,NYJ,2017-12-24,2017,16,Injured Reserve,Knee,,
Asante Cleveland,LAC,OAK,2017-12-31,2017,17,Injured Reserve,Knee,,
