Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Mike Hull,MIA,LAR,2016-11-20,2016,11,Questionable,knee,,
Mike Hull,MIA,TEN,2017-10-08,2017,5,Questionable,Shoulder,,
Mike Hull,MIA,CAR,2017-11-13,2017,10,Questionable,Shoulder,,
Mike Hull,MIA,TEN,2018-09-09,2018,1,Injured Reserve,Knee,,
Mike Hull,MIA,NYJ,2018-09-16,2018,2,Injured Reserve,Knee,,
Mike Hull,MIA,OAK,2018-09-23,2018,3,Injured Reserve,Knee,,
Mike Hull,MIA,NWE,2018-09-30,2018,4,Injured Reserve,Knee,,
Mike Hull,MIA,CIN,2018-10-07,2018,5,Injured Reserve,Knee,,
Mike Hull,MIA,CHI,2018-10-14,2018,6,Injured Reserve,Knee,,
Mike Hull,MIA,DET,2018-10-21,2018,7,Injured Reserve,Knee,,
Mike Hull,MIA,HOU,2018-10-25,2018,8,Injured Reserve,Knee,,
Mike Hull,MIA,BAL,2019-09-08,2019,1,Physically Unable to Perform,,,
Mike Hull,MIA,NWE,2019-09-15,2019,2,Physically Unable to Perform,,,
Mike Hull,MIA,DAL,2019-09-22,2019,3,Physically Unable to Perform,,,
Mike Hull,MIA,LAC,2019-09-29,2019,4,Physically Unable to Perform,,,
Mike Hull,MIA,WAS,2019-10-13,2019,6,Physically Unable to Perform,,,
Mike Hull,MIA,BUF,2019-10-20,2019,7,Physically Unable to Perform,,,
Mike Hull,MIA,PIT,2019-10-28,2019,8,Physically Unable to Perform,,,
Mike Hull,MIA,NYJ,2019-11-03,2019,9,Physically Unable to Perform,,,
Mike Hull,MIA,IND,2019-11-10,2019,10,Physically Unable to Perform,,,
Mike Hull,MIA,BUF,2019-11-17,2019,11,Physically Unable to Perform,,,
Mike Hull,MIA,CLE,2019-11-24,2019,12,Physically Unable to Perform,,,
Mike Hull,MIA,PHI,2019-12-01,2019,13,Physically Unable to Perform,,,
Mike Hull,MIA,NYJ,2019-12-08,2019,14,Physically Unable to Perform,,,
Mike Hull,MIA,NYG,2019-12-15,2019,15,Physically Unable to Perform,,,
Mike Hull,MIA,CIN,2019-12-22,2019,16,Physically Unable to Perform,,,
Mike Hull,MIA,NWE,2019-12-29,2019,17,Physically Unable to Perform,,,
