Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Josh Woodrum,WAS,PHI,2019-09-08,2019,1,Injured Reserve,,,
Josh Woodrum,WAS,DAL,2019-09-15,2019,2,Injured Reserve,,,
Josh Woodrum,WAS,CHI,2019-09-23,2019,3,Injured Reserve,,,
Josh Woodrum,WAS,NYG,2019-09-29,2019,4,Injured Reserve,,,
Josh Woodrum,WAS,NWE,2019-10-06,2019,5,Injured Reserve,,,
Josh Woodrum,WAS,MIA,2019-10-13,2019,6,Injured Reserve,,,
Josh Woodrum,WAS,SFO,2019-10-20,2019,7,Injured Reserve,,,
Josh Woodrum,WAS,MIN,2019-10-24,2019,8,Injured Reserve,,,
Josh Woodrum,WAS,BUF,2019-11-03,2019,9,Injured Reserve,,,
Josh Woodrum,WAS,NYJ,2019-11-17,2019,11,Injured Reserve,,,
Josh Woodrum,WAS,DET,2019-11-24,2019,12,Injured Reserve,,,
Josh Woodrum,WAS,CAR,2019-12-01,2019,13,Injured Reserve,,,
Josh Woodrum,WAS,GNB,2019-12-08,2019,14,Injured Reserve,,,
Josh Woodrum,WAS,PHI,2019-12-15,2019,15,Injured Reserve,,,
Josh Woodrum,WAS,NYG,2019-12-22,2019,16,Injured Reserve,,,
Josh Woodrum,WAS,DAL,2019-12-29,2019,17,Injured Reserve,,,
