Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Nick Kwiatkoski,CHI,IND,2016-10-09,2016,5,Questionable,elbow,,
Nick Kwiatkoski,CHI,PIT,2017-09-24,2017,3,Out,Chest,,
Nick Kwiatkoski,CHI,GNB,2017-09-28,2017,4,Doubtful,Chest,,
Nick Kwiatkoski,CHI,MIN,2017-10-09,2017,5,Doubtful,Chest,,
Nick Kwiatkoski,CHI,BAL,2017-10-15,2017,6,Questionable,Chest,,
Nick Kwiatkoski,CHI,CAR,2017-10-22,2017,7,Questionable,Chest,,
Nick Kwiatkoski,CHI,DEN,2019-09-15,2019,2,Questionable,Knee,,
Nick Kwiatkoski,OAK,NOR,2020-09-21,2020,2,Doubtful,Pectoral,,
Nick Kwiatkoski,OAK,NWE,2020-09-27,2020,3,Out,Pectoral,,
Nick Kwiatkoski,OAK,BUF,2020-10-04,2020,4,Questionable,Pectoral,,
Nick Kwiatkoski,OAK,MIA,2020-12-26,2020,16,C19,,,
Nick Kwiatkoski,OAK,DEN,2021-01-03,2020,17,C19,,,
