Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Joseph Noteboom,LAR,ATL,2019-10-20,2019,7,Injured Reserve,,,
Joseph Noteboom,LAR,CIN,2019-10-27,2019,8,Injured Reserve,,,
Joseph Noteboom,LAR,PIT,2019-11-10,2019,10,Injured Reserve,,,
Joseph Noteboom,LAR,CHI,2019-11-17,2019,11,Injured Reserve,,,
Joseph Noteboom,LAR,BAL,2019-11-25,2019,12,Injured Reserve,,,
Joseph Noteboom,LAR,ARI,2019-12-01,2019,13,Injured Reserve,,,
Joseph Noteboom,LAR,SEA,2019-12-08,2019,14,Injured Reserve,,,
Joseph Noteboom,LAR,DAL,2019-12-15,2019,15,Injured Reserve,,,
Joseph Noteboom,LAR,SFO,2019-12-21,2019,16,Injured Reserve,,,
Joseph Noteboom,LAR,ARI,2019-12-29,2019,17,Injured Reserve,,,
Joseph Noteboom,LAR,BUF,2020-09-27,2020,3,Injured Reserve,,,
Joseph Noteboom,LAR,NYG,2020-10-04,2020,4,Injured Reserve,,,
Joseph Noteboom,LAR,WAS,2020-10-11,2020,5,Injured Reserve,,,
Joseph Noteboom,LAR,SFO,2020-10-18,2020,6,Injured Reserve,,,
