Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Stephen Weatherly,MIN,CLE,2017-10-29,2017,8,Out,Knee,,
Stephen Weatherly,MIN,WAS,2017-11-12,2017,10,Questionable,Knee,,
Stephen Weatherly,MIN,DAL,2019-11-10,2019,10,Questionable,Groin,,
Stephen Weatherly,CAR,LVR,2020-09-13,2020,1,Questionable,Hamstring,,
Stephen Weatherly,CAR,TAM,2020-11-15,2020,10,Injured Reserve,,,
Stephen Weatherly,CAR,DET,2020-11-22,2020,11,Injured Reserve,,,
Stephen Weatherly,CAR,MIN,2020-11-29,2020,12,Injured Reserve,,,
Stephen Weatherly,CAR,DEN,2020-12-13,2020,14,Injured Reserve,,,
Stephen Weatherly,CAR,GNB,2020-12-19,2020,15,Injured Reserve,,,
Stephen Weatherly,CAR,WAS,2020-12-27,2020,16,Injured Reserve,,,
Stephen Weatherly,CAR,NOR,2021-01-03,2020,17,Injured Reserve,,,
