Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Lane Johnson,PHI,CAR,2017-10-12,2017,6,Out,Concussion,,
Lane Johnson,PHI,NYG,2018-10-11,2018,6,Questionable,Ankle,,
Lane Johnson,PHI,DAL,2018-11-11,2018,10,Questionable,Knee,,
Lane Johnson,PHI,NOR,2018-11-18,2018,11,Questionable,Knee,,
Lane Johnson,PHI,SEA,2019-11-24,2019,12,Out,Concussion,,
Lane Johnson,PHI,WAS,2019-12-15,2019,15,Out,Ankle,,
Lane Johnson,PHI,DAL,2019-12-22,2019,16,Out,Ankle,,
Lane Johnson,PHI,NYG,2019-12-29,2019,17,Questionable,Ankle,,
Lane Johnson,PHI,WAS,2020-09-13,2020,1,Questionable,Ankle,,
Lane Johnson,PHI,BAL,2020-10-18,2020,6,Out,Ankle,,
Lane Johnson,PHI,SEA,2020-11-30,2020,12,Out,Ankle,,
Lane Johnson,PHI,GNB,2020-12-06,2020,13,Injured Reserve,,,
Lane Johnson,PHI,NOR,2020-12-13,2020,14,Injured Reserve,,,
Lane Johnson,PHI,ARI,2020-12-20,2020,15,Injured Reserve,,,
Lane Johnson,PHI,DAL,2020-12-27,2020,16,Injured Reserve,,,
Lane Johnson,PHI,WAS,2021-01-03,2020,17,Injured Reserve,,,
