Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Paul Worrilow,DET,CAR,2017-10-08,2017,5,Out,Knee,,
Paul Worrilow,DET,NOR,2017-10-15,2017,6,Out,Knee,,
Paul Worrilow,DET,PIT,2017-10-29,2017,8,Questionable,Knee,,
Paul Worrilow,PHI,ATL,2018-09-06,2018,1,Injured Reserve,Knee,,
Paul Worrilow,PHI,TAM,2018-09-16,2018,2,Injured Reserve,Knee,,
Paul Worrilow,PHI,IND,2018-09-23,2018,3,Injured Reserve,Knee,,
Paul Worrilow,PHI,TEN,2018-09-30,2018,4,Injured Reserve,Knee,,
Paul Worrilow,PHI,MIN,2018-10-07,2018,5,Injured Reserve,Knee,,
Paul Worrilow,PHI,NYG,2018-10-11,2018,6,Injured Reserve,Knee,,
Paul Worrilow,PHI,CAR,2018-10-21,2018,7,Injured Reserve,Knee,,
Paul Worrilow,PHI,JAX,2018-10-28,2018,8,Injured Reserve,Knee,,
Paul Worrilow,PHI,DAL,2018-11-11,2018,10,Injured Reserve,Knee,,
Paul Worrilow,PHI,NOR,2018-11-18,2018,11,Injured Reserve,Knee,,
Paul Worrilow,PHI,NYG,2018-11-25,2018,12,Injured Reserve,Knee,,
Paul Worrilow,PHI,WAS,2018-12-03,2018,13,Injured Reserve,Knee,,
Paul Worrilow,PHI,DAL,2018-12-09,2018,14,Injured Reserve,Knee,,
Paul Worrilow,PHI,LAR,2018-12-16,2018,15,Injured Reserve,Knee,,
Paul Worrilow,PHI,HOU,2018-12-23,2018,16,Injured Reserve,Knee,,
Paul Worrilow,PHI,WAS,2018-12-30,2018,17,Injured Reserve,Knee,,
Paul Worrilow,NYJ,WAS,2019-11-17,2019,11,Out,Quadricep,,
Paul Worrilow,NYJ,OAK,2019-11-24,2019,12,Doubtful,Quadricep,,
Paul Worrilow,NYJ,CIN,2019-12-01,2019,13,Out,Quadricep,,
Paul Worrilow,NYJ,MIA,2019-12-08,2019,14,Questionable,Quadricep,,
